Title:               Resident Population in Orange County, NC
Series ID:           NCORAN2POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE          VALUE
1970-01-01   57.567
1971-01-01   61.400
1972-01-01   65.800
1973-01-01   67.500
1974-01-01   71.100
1975-01-01   69.300
1976-01-01   70.800
1977-01-01   73.200
1978-01-01   74.100
1979-01-01   75.900
1980-01-01   77.055
1981-01-01   77.880
1982-01-01   78.644
1983-01-01   80.078
1984-01-01   81.299
1985-01-01   83.604
1986-01-01   86.149
1987-01-01   88.002
1988-01-01   90.396
1989-01-01   92.547
1990-01-01   94.232
1991-01-01   96.118
1992-01-01   98.745
1993-01-01  102.516
1994-01-01  105.940
1995-01-01  108.479
1996-01-01  110.365
1997-01-01  112.831
1998-01-01  114.896
1999-01-01  116.862
2000-01-01  116.103
2001-01-01  118.338
2002-01-01  117.028
2003-01-01  117.719
2004-01-01  117.990
2005-01-01  119.779
2006-01-01  122.202
2007-01-01  124.855
2008-01-01  127.079
2009-01-01  129.320
2010-01-01  133.950
2011-01-01  134.962
2012-01-01  137.946
2013-01-01  139.430
2014-01-01  140.399
2015-01-01  141.563
2016-01-01  142.723
2017-01-01  144.946
