Title:               Real Gross Domestic Product by Industry: Private Industries: Other Services, Except Government for North Carolina
Series ID:           NCOTHSERVERQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Millions of Chained 2012 Dollars
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:15 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE         VALUE
2005-01-01  9790.3
2005-04-01  9751.1
2005-07-01  9845.0
2005-10-01  9761.3
2006-01-01  9905.4
2006-04-01  9891.1
2006-07-01  9864.6
2006-10-01  9884.3
2007-01-01  9901.1
2007-04-01  9825.2
2007-07-01  9692.8
2007-10-01  9679.5
2008-01-01  9490.6
2008-04-01  9359.5
2008-07-01  9358.4
2008-10-01  9271.5
2009-01-01  8891.9
2009-04-01  8806.7
2009-07-01  8784.6
2009-10-01  8736.0
2010-01-01  8707.0
2010-04-01  8732.4
2010-07-01  8820.8
2010-10-01  8791.3
2011-01-01  8720.2
2011-04-01  8669.1
2011-07-01  8583.5
2011-10-01  8624.9
2012-01-01  8984.2
2012-04-01  8986.7
2012-07-01  8911.6
2012-10-01  8920.3
2013-01-01  8985.1
2013-04-01  8819.6
2013-07-01  8882.9
2013-10-01  8950.2
2014-01-01  8884.2
2014-04-01  9109.1
2014-07-01  9290.8
2014-10-01  9277.6
2015-01-01  9292.1
2015-04-01  9296.5
2015-07-01  9220.6
2015-10-01  9122.3
2016-01-01  9172.9
2016-04-01  9206.8
2016-07-01  9290.0
2016-10-01  9373.9
2017-01-01  9299.0
2017-04-01  9280.8
2017-07-01  9370.2
2017-10-01  9434.5
2018-01-01  9500.6
2018-04-01  9598.0
