Title:               Personal Contributions for Social Insurance in North Carolina
Series ID:           NCOSOC
Source:              Federal Reserve Bank of St. Louis, U.S. Bureau of Economic Analysis
Release:             State Personal Income (Quarterly)
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Millions of Dollars
Date Range:          1998-01-01 to 2018-07-01
Last Updated:        2018-12-20 11:32 AM CST
Notes:               Please visit http://research.stlouisfed.org/fred2/personalincome for
                     documentation on the derivation of personal income.

DATE          VALUE
1998-01-01  16713.7
1998-04-01  16982.9
1998-07-01  17384.9
1998-10-01  17744.9
1999-01-01  18028.0
1999-04-01  18167.5
1999-07-01  18458.0
1999-10-01  18687.3
2000-01-01  19072.7
2000-04-01  19294.2
2000-07-01  19621.6
2000-10-01  19722.7
2001-01-01  20127.1
2001-04-01  20243.7
2001-07-01  20018.6
2001-10-01  20010.7
2002-01-01  20149.9
2002-04-01  20377.9
2002-07-01  20458.2
2002-10-01  20490.6
2003-01-01  20875.7
2003-04-01  21153.0
2003-07-01  21525.0
2003-10-01  21951.8
2004-01-01  21858.8
2004-04-01  22202.9
2004-07-01  22746.1
2004-10-01  23042.3
2005-01-01  23577.7
2005-04-01  23797.7
2005-07-01  24201.5
2005-10-01  24510.2
2006-01-01  25302.4
2006-04-01  25499.3
2006-07-01  25816.1
2006-10-01  26467.4
2007-01-01  27286.3
2007-04-01  27371.2
2007-07-01  27482.5
2007-10-01  27930.7
2008-01-01  28167.6
2008-04-01  28242.3
2008-07-01  28387.7
2008-10-01  28316.5
2009-01-01  27228.5
2009-04-01  27555.6
2009-07-01  27628.4
2009-10-01  27558.2
2010-01-01  27835.1
2010-04-01  27874.6
2010-07-01  27721.6
2010-10-01  27819.8
2011-01-01  25763.9
2011-04-01  25905.8
2011-07-01  26042.3
2011-10-01  25994.0
2012-01-01  26680.2
2012-04-01  26753.0
2012-07-01  27094.5
2012-10-01  27297.4
2013-01-01  31055.0
2013-04-01  31206.1
2013-07-01  31302.0
2013-10-01  31667.9
2014-01-01  32533.2
2014-04-01  32511.0
2014-07-01  32984.9
2014-10-01  33466.6
2015-01-01  34073.3
2015-04-01  34375.8
2015-07-01  34754.6
2015-10-01  35022.1
2016-01-01  35216.6
2016-04-01  35290.0
2016-07-01  35674.8
2016-10-01  36247.6
2017-01-01  36649.7
2017-04-01  36834.0
2017-07-01  37063.8
2017-10-01  37362.1
2018-01-01  38080.9
2018-04-01  38709.8
2018-07-01  38925.3
