Title:               Quantity Indexes for Total Real Gross Domestic Product by Industry for North Carolina
Series ID:           NCQQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Index 2012=100
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:15 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE          VALUE
2005-01-01   91.885
2005-04-01   92.009
2005-07-01   92.975
2005-10-01   93.940
2006-01-01   97.654
2006-04-01   98.403
2006-07-01   98.328
2006-10-01   99.262
2007-01-01   99.542
2007-04-01   98.911
2007-07-01   98.762
2007-10-01   99.933
2008-01-01  102.056
2008-04-01  102.850
2008-07-01  102.206
2008-10-01   99.576
2009-01-01   95.269
2009-04-01   96.377
2009-07-01   97.756
2009-10-01   99.257
2010-01-01   97.676
2010-04-01   98.177
2010-07-01   98.533
2010-10-01  100.002
2011-01-01   99.528
2011-04-01  100.758
2011-07-01   99.487
2011-10-01   99.787
2012-01-01  100.948
2012-04-01   99.729
2012-07-01  100.029
2012-10-01   99.293
2013-01-01  100.485
2013-04-01  100.711
2013-07-01  101.901
2013-10-01  102.173
2014-01-01  102.279
2014-04-01  102.679
2014-07-01  103.809
2014-10-01  104.026
2015-01-01  105.982
2015-04-01  106.876
2015-07-01  106.644
2015-10-01  106.290
2016-01-01  107.050
2016-04-01  107.157
2016-07-01  107.569
2016-10-01  108.674
2017-01-01  109.298
2017-04-01  109.970
2017-07-01  110.285
2017-10-01  111.158
2018-01-01  111.689
2018-04-01  112.613
