Title:               Resident Population in Burke County, NC
Series ID:           NCBURK0POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE         VALUE
1970-01-01  60.364
1971-01-01  62.700
1972-01-01  64.600
1973-01-01  66.800
1974-01-01  67.800
1975-01-01  68.400
1976-01-01  68.900
1977-01-01  69.200
1978-01-01  70.000
1979-01-01  71.300
1980-01-01  72.504
1981-01-01  72.876
1982-01-01  73.583
1983-01-01  73.189
1984-01-01  73.766
1985-01-01  74.448
1986-01-01  74.588
1987-01-01  74.693
1988-01-01  75.346
1989-01-01  75.586
1990-01-01  76.046
1991-01-01  76.995
1992-01-01  78.455
1993-01-01  79.852
1994-01-01  81.587
1995-01-01  83.235
1996-01-01  84.382
1997-01-01  86.012
1998-01-01  87.350
1999-01-01  88.496
2000-01-01  89.358
2001-01-01  89.377
2002-01-01  89.074
2003-01-01  88.990
2004-01-01  88.687
2005-01-01  88.619
2006-01-01  88.786
2007-01-01  88.912
2008-01-01  89.351
2009-01-01  89.540
2010-01-01  90.577
2011-01-01  90.490
2012-01-01  89.755
2013-01-01  89.141
2014-01-01  88.610
2015-01-01  88.644
2016-01-01  88.802
2017-01-01  89.293
