Title:               Total Held-to-Maturity Securities for Commercial Banks in North Carolina
Series ID:           NCTHTMS
Source:              Federal Financial Institutions Examination Council (US)
Release:             Reports of Condition and Income for All Insured U.S. Commercial Banks
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1994-01-01 to 2018-07-01
Last Updated:        2018-12-13 11:02 AM CST
Notes:               This series represents Total Held-to-Maturity Securities call item
                     RCFD1754.
                     
                     Geographic location is determined by Abbreviated State Name call item
                     RSSD9200 = 'NC' representing two character state abbreviation of North
                     Carolina.
                     
                     For more information and definition about the specific call item
                     codes, please see
                     http://www.federalreserve.gov/apps/mdrm/data-dictionary.
                     
                     This series is calculated by the Federal Reserve Bank of St. Louis
                     using raw data that are collected by the FFIEC. Raw data can be found
                     at https://cdr.ffiec.gov/public/.

DATE            VALUE
1994-01-01    8916111
1994-04-01    8870395
1994-07-01   10080244
1994-10-01   10257563
1995-01-01   11131826
1995-04-01   11200797
1995-07-01   15434566
1995-10-01    7620992
1996-01-01    7453764
1996-04-01    6428793
1996-07-01    6234174
1996-10-01    6298177
1997-01-01    5668688
1997-04-01    7371109
1997-07-01    7543689
1997-10-01    7158125
1998-01-01    7481475
1998-04-01    7593985
1998-07-01    7052753
1998-10-01    6837102
1999-01-01    6198351
1999-04-01    5897346
1999-07-01    6737885
1999-10-01    6198699
2000-01-01    6134894
2000-04-01    6181247
2000-07-01    6195440
2000-10-01    6092750
2001-01-01    4332810
2001-04-01    4071216
2001-07-01    3989439
2001-10-01    4058260
2002-01-01    3863003
2002-04-01    3722614
2002-07-01    3785126
2002-10-01    3889258
2003-01-01    3384481
2003-04-01    2409533
2003-07-01    2602803
2003-10-01    2083564
2004-01-01    1903260
2004-04-01    1604750
2004-07-01    1564004
2004-10-01    1642403
2005-01-01    1601995
2005-04-01    1716999
2005-07-01    1504837
2005-10-01    1356192
2006-01-01    1255674
2006-04-01    1083688
2006-07-01     945318
2006-10-01     802801
2007-01-01    1564834
2007-04-01    1599019
2007-07-01    1119682
2007-10-01    1090355
2008-01-01    1463589
2008-04-01    1866477
2008-07-01    1976650
2008-10-01    1397010
2009-01-01    1259012
2009-04-01    2728324
2009-07-01    2954520
2009-10-01    3574815
2010-01-01     657189
2010-04-01     667547
2010-07-01     608309
2010-10-01     600780
2011-01-01    8928290
2011-04-01    9142799
2011-07-01   34996116
2011-10-01   49772634
2012-01-01   48141655
2012-04-01   48218798
2012-07-01   53478105
2012-10-01   63447924
2013-01-01   63225218
2013-04-01   69712495
2013-07-01   69329471
2013-10-01   74485183
2014-01-01   77094600
2014-04-01   81821855
2014-07-01   82361533
2014-10-01   81666091
2015-01-01   81935446
2015-04-01   81266696
2015-07-01   87702085
2015-10-01  104481841
2016-01-01  119006765
2016-04-01  122704713
2016-07-01  131846079
2016-10-01  135324825
2017-01-01  135739287
2017-04-01  138515674
2017-07-01  146868485
2017-10-01  148527353
2018-01-01  146392097
2018-04-01  187527775
2018-07-01  218256205
