Title:               Quantity Indexes for Real Gross Domestic Product by Industry: Private Industries: Transportation and Warehousing for North Carolina
Series ID:           NCTRANSWAREQQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Index 2012=100
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:15 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE          VALUE
2005-01-01   97.709
2005-04-01   99.596
2005-07-01  103.990
2005-10-01  105.576
2006-01-01  103.510
2006-04-01  105.978
2006-07-01  104.941
2006-10-01  102.936
2007-01-01   99.715
2007-04-01  101.199
2007-07-01  100.107
2007-10-01  103.677
2008-01-01  101.285
2008-04-01  101.068
2008-07-01   99.009
2008-10-01   96.250
2009-01-01   90.837
2009-04-01   93.263
2009-07-01   94.648
2009-10-01   96.745
2010-01-01   95.281
2010-04-01   97.763
2010-07-01  100.280
2010-10-01  101.247
2011-01-01   99.575
2011-04-01   98.756
2011-07-01   96.827
2011-10-01   99.134
2012-01-01   99.808
2012-04-01  100.296
2012-07-01  100.173
2012-10-01   99.724
2013-01-01   98.889
2013-04-01   97.300
2013-07-01   97.460
2013-10-01  102.778
2014-01-01  101.577
2014-04-01  102.886
2014-07-01  105.706
2014-10-01  104.658
2015-01-01  103.094
2015-04-01  105.336
2015-07-01  106.061
2015-10-01  104.422
2016-01-01  101.545
2016-04-01  105.110
2016-07-01  104.306
2016-10-01  106.351
2017-01-01  109.078
2017-04-01  108.517
2017-07-01  110.710
2017-10-01  111.579
2018-01-01  115.462
2018-04-01  115.828
