Title:               Real Gross Domestic Product by Industry: Private Industries: Wholesale Trade for North Carolina
Series ID:           NCWHOLERQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Millions of Chained 2012 Dollars
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:15 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE          VALUE
2005-01-01  24212.0
2005-04-01  24546.7
2005-07-01  24492.8
2005-10-01  25102.3
2006-01-01  25220.9
2006-04-01  25251.2
2006-07-01  25448.7
2006-10-01  25610.0
2007-01-01  25813.4
2007-04-01  26437.0
2007-07-01  26615.2
2007-10-01  27144.0
2008-01-01  26199.3
2008-04-01  26745.6
2008-07-01  26114.7
2008-10-01  24875.8
2009-01-01  23218.8
2009-04-01  22184.4
2009-07-01  22364.7
2009-10-01  23563.6
2010-01-01  23301.8
2010-04-01  24274.3
2010-07-01  24989.4
2010-10-01  24846.0
2011-01-01  24465.2
2011-04-01  24159.3
2011-07-01  24051.5
2011-10-01  25373.0
2012-01-01  24880.2
2012-04-01  25885.4
2012-07-01  26008.8
2012-10-01  25578.8
2013-01-01  26057.9
2013-04-01  25900.5
2013-07-01  26419.5
2013-10-01  26942.4
2014-01-01  26854.5
2014-04-01  27703.9
2014-07-01  28597.0
2014-10-01  28479.3
2015-01-01  28800.6
2015-04-01  29009.4
2015-07-01  28725.1
2015-10-01  28758.9
2016-01-01  28449.1
2016-04-01  29243.8
2016-07-01  29601.2
2016-10-01  29825.7
2017-01-01  30380.8
2017-04-01  30207.2
2017-07-01  30706.3
2017-10-01  31029.8
2018-01-01  30521.7
2018-04-01  30774.4
