Title:               Gross Domestic Product by Industry: Private Industries: Wholesale Trade for North Carolina
Series ID:           NCWHOLENQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Millions of Dollars
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:15 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE          VALUE
2005-01-01  19007.6
2005-04-01  19227.4
2005-07-01  19408.8
2005-10-01  19850.2
2006-01-01  20356.0
2006-04-01  20769.0
2006-07-01  21139.8
2006-10-01  21389.6
2007-01-01  21977.4
2007-04-01  22229.4
2007-07-01  22386.6
2007-10-01  22734.3
2008-01-01  22097.3
2008-04-01  22965.1
2008-07-01  22893.7
2008-10-01  22422.5
2009-01-01  21320.3
2009-04-01  20764.4
2009-07-01  21122.7
2009-10-01  21952.2
2010-01-01  22103.8
2010-04-01  22733.4
2010-07-01  23304.1
2010-10-01  23209.1
2011-01-01  23129.0
2011-04-01  23607.4
2011-07-01  23660.6
2011-10-01  24557.7
2012-01-01  24918.3
2012-04-01  25564.8
2012-07-01  25902.5
2012-10-01  25967.6
2013-01-01  26452.4
2013-04-01  26390.5
2013-07-01  26973.4
2013-10-01  27552.3
2014-01-01  27507.9
2014-04-01  28445.4
2014-07-01  29260.6
2014-10-01  29284.4
2015-01-01  29739.6
2015-04-01  29958.0
2015-07-01  29740.3
2015-10-01  29819.9
2016-01-01  29925.2
2016-04-01  30500.7
2016-07-01  30559.6
2016-10-01  30995.5
2017-01-01  31700.8
2017-04-01  31739.8
2017-07-01  32469.7
2017-10-01  32933.5
2018-01-01  32328.8
2018-04-01  33043.6
