Title:               Health Care and Social Assistance Wages and Salaries in North Carolina
Series ID:           NCWHEA
Source:              Federal Reserve Bank of St. Louis, U.S. Bureau of Economic Analysis
Release:             State Personal Income (Quarterly)
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1998-01-01 to 2018-07-01
Last Updated:        2018-12-20 11:32 AM CST
Notes:               Industry based on North American Industry Classification System
                     (NAICS). Please consult the U.S. Census Bureau
                     (http://www.census.gov/eos/www/naics/) for additional information
                     about NAICS.

DATE            VALUE
1998-01-01    8707372
1998-04-01    8851716
1998-07-01    9004620
1998-10-01    9126856
1999-01-01    9299592
1999-04-01    9496028
1999-07-01    9556872
1999-10-01    9793396
2000-01-01   10374868
2000-04-01    9858784
2000-07-01   10358396
2000-10-01   10399452
2001-01-01   10830048
2001-04-01   11047448
2001-07-01   11228312
2001-10-01   11518852
2002-01-01   11664768
2002-04-01   11827484
2002-07-01   11946828
2002-10-01   11995080
2003-01-01   12267248
2003-04-01   12364780
2003-07-01   12700484
2003-10-01   12956004
2004-01-01   13053340
2004-04-01   13239888
2004-07-01   13772936
2004-10-01   13857232
2005-01-01   13957288
2005-04-01   14107392
2005-07-01   14295868
2005-10-01   14626784
2006-01-01   15151576
2006-04-01   15410844
2006-07-01   15636476
2006-10-01   16078112
2007-01-01   16342504
2007-04-01   16707168
2007-07-01   16854780
2007-10-01   17234728
2008-01-01   17488428
2008-04-01   17652744
2008-07-01   17729768
2008-10-01   18223552
2009-01-01   17819024
2009-04-01   18285536
2009-07-01   18502776
2009-10-01   18666592
2010-01-01   18520904
2010-04-01   18532512
2010-07-01   18626448
2010-10-01   18468068
2011-01-01   18912328
2011-04-01   18973592
2011-07-01   18944452
2011-10-01   19062200
2012-01-01   19571864
2012-04-01   19453960
2012-07-01   19764728
2012-10-01   20132932
2013-01-01   20443848
2013-04-01   20508372
2013-07-01   20490916
2013-10-01   20365612
2014-01-01   20639800
2014-04-01   20769816
2014-07-01   21083384
2014-10-01   21543116
2015-01-01   21584580
2015-04-01   21756760
2015-07-01   22123676
2015-10-01   22279400
2016-01-01   22699716
2016-04-01   22625212
2016-07-01   22666456
2016-10-01   23371716
2017-01-01   23950112
2017-04-01   24191116
2017-07-01   24149852
2017-10-01   24674484
2018-01-01   24960080
2018-04-01   25116925
2018-07-01   25343405
