Title:               State Minimum Wage Rate for North Carolina
Series ID:           STTMINWGNC
Source:              U.S. Department of Labor
Release:             Minimum Wage Rate by State (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Dollars per Hour
Date Range:          1968-01-01 to 2019-01-01
Last Updated:        2019-01-02 2:01 PM CST
Notes:               For more information, visit
                     https://www.dol.gov/whd/state/stateMinWageHis.htm

DATE       VALUE
1968-01-01  1.00
1969-01-01  1.00
1970-01-01  1.25
1971-01-01  1.25
1972-01-01  1.45
1973-01-01  1.45
1974-01-01  1.45
1975-01-01  1.45
1976-01-01  2.00
1977-01-01  2.00
1978-01-01  2.00
1979-01-01  2.50
1980-01-01  2.75
1981-01-01  2.90
1982-01-01  2.90
1983-01-01  2.90
1984-01-01  2.90
1985-01-01  2.90
1986-01-01  2.90
1987-01-01  2.90
1988-01-01  3.35
1989-01-01  3.35
1990-01-01  3.35
1991-01-01  3.35
1992-01-01  3.80
1993-01-01  3.80
1994-01-01  4.25
1995-01-01  4.25
1996-01-01  4.25
1997-01-01  4.25
1998-01-01  5.15
1999-01-01  5.15
2000-01-01  5.15
2001-01-01  5.15
2002-01-01  5.15
2003-01-01  5.15
2004-01-01  5.15
2005-01-01  5.15
2006-01-01  5.15
2007-01-01  6.15
2008-01-01  6.15
2009-01-01  6.55
2010-01-01  7.25
2011-01-01  7.25
2012-01-01  7.25
2013-01-01  7.25
2014-01-01  7.25
2015-01-01  7.25
2016-01-01  7.25
2017-01-01  7.25
2018-01-01  7.25
2019-01-01  7.25
