Title:               Gross Domestic Product by Industry: Private Industries: Educational Services, Health Care, and Social Assistance: Educational Services for North Carolina
Series ID:           NCEDCATNQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Millions of Dollars
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:15 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE         VALUE
2005-01-01  3330.0
2005-04-01  3385.9
2005-07-01  3441.8
2005-10-01  3513.1
2006-01-01  3730.8
2006-04-01  3806.4
2006-07-01  3908.2
2006-10-01  3965.6
2007-01-01  4011.7
2007-04-01  4074.4
2007-07-01  4210.2
2007-10-01  4438.2
2008-01-01  4489.2
2008-04-01  4612.9
2008-07-01  4792.4
2008-10-01  4948.4
2009-01-01  5350.1
2009-04-01  5433.0
2009-07-01  5499.3
2009-10-01  5490.7
2010-01-01  5650.2
2010-04-01  5730.8
2010-07-01  5798.2
2010-10-01  5732.6
2011-01-01  5887.0
2011-04-01  5913.7
2011-07-01  5944.2
2011-10-01  6114.4
2012-01-01  6219.9
2012-04-01  6282.8
2012-07-01  6178.2
2012-10-01  6011.6
2013-01-01  5758.8
2013-04-01  5617.8
2013-07-01  5501.5
2013-10-01  5651.2
2014-01-01  5745.8
2014-04-01  5816.1
2014-07-01  6064.4
2014-10-01  6268.0
2015-01-01  6680.5
2015-04-01  7017.2
2015-07-01  7193.1
2015-10-01  7174.4
2016-01-01  7322.8
2016-04-01  7302.9
2016-07-01  7097.3
2016-10-01  7097.1
2017-01-01  6859.2
2017-04-01  6869.6
2017-07-01  7016.4
2017-10-01  7252.8
2018-01-01  7384.9
2018-04-01  7392.1
