Title:               Health Care and Social Assistance Earnings in North Carolina
Series ID:           NCEHEA
Source:              Federal Reserve Bank of St. Louis, U.S. Bureau of Economic Analysis
Release:             State Personal Income (Quarterly)
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1998-01-01 to 2018-07-01
Last Updated:        2018-12-20 11:32 AM CST
Notes:               Industry based on North American Industry Classification System
                     (NAICS). Please consult the U.S. Census Bureau
                     (http://www.census.gov/eos/www/naics/) for additional information
                     about NAICS.

DATE            VALUE
1998-01-01   11699744
1998-04-01   11906816
1998-07-01   12127368
1998-10-01   12315760
1999-01-01   12352324
1999-04-01   12625048
1999-07-01   12733296
1999-10-01   13038464
2000-01-01   13539044
2000-04-01   12970952
2000-07-01   13590948
2000-10-01   13690488
2001-01-01   14160940
2001-04-01   14476376
2001-07-01   14752724
2001-10-01   15153584
2002-01-01   15398520
2002-04-01   15643048
2002-07-01   15832688
2002-10-01   15938944
2003-01-01   16320944
2003-04-01   16427320
2003-07-01   16849528
2003-10-01   17199784
2004-01-01   17364848
2004-04-01   17629816
2004-07-01   18309740
2004-10-01   18450164
2005-01-01   18597556
2005-04-01   18846128
2005-07-01   19136776
2005-10-01   19611756
2006-01-01   20254056
2006-04-01   20632440
2006-07-01   20951060
2006-10-01   21487972
2007-01-01   21807056
2007-04-01   22179420
2007-07-01   22350472
2007-10-01   22830012
2008-01-01   23297964
2008-04-01   23562532
2008-07-01   23676332
2008-10-01   24259728
2009-01-01   23855552
2009-04-01   24450296
2009-07-01   24845956
2009-10-01   25243860
2010-01-01   25213780
2010-04-01   25258860
2010-07-01   25350636
2010-10-01   25040796
2011-01-01   25340988
2011-04-01   25336052
2011-07-01   25269324
2011-10-01   25489488
2012-01-01   26099024
2012-04-01   26037880
2012-07-01   26421828
2012-10-01   26790380
2013-01-01   27066900
2013-04-01   27108848
2013-07-01   27153404
2013-10-01   27088844
2014-01-01   27608724
2014-04-01   27895952
2014-07-01   28339120
2014-10-01   28853784
2015-01-01   28937752
2015-04-01   29052320
2015-07-01   29494748
2015-10-01   29599996
2016-01-01   30295520
2016-04-01   30224744
2016-07-01   30225260
2016-10-01   31106140
2017-01-01   31852568
2017-04-01   32154096
2017-07-01   32128536
2017-10-01   32787460
2018-01-01   33169252
2018-04-01   33379109
2018-07-01   33683228
