Title:               Average Weekly Wages for Employees in Total Covered Establishments in Burlington, NC (MSA)
Series ID:           ENUC155040010SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:24 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans). 
                     
                     The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at http://cran.r-project.org/web/packages/x12/x12.pdf. More
                     information on X-12-ARIMA can be found at
                     http://www.census.gov/srd/www/x12a/.

DATE        VALUE
1990-01-01  331.5
1990-04-01  338.5
1990-07-01  340.7
1990-10-01  339.8
1991-01-01  358.6
1991-04-01  362.8
1991-07-01  367.2
1991-10-01  370.4
1992-01-01  377.8
1992-04-01  375.9
1992-07-01  373.1
1992-10-01  380.2
1993-01-01  369.9
1993-04-01  386.5
1993-07-01  400.8
1993-10-01  404.2
1994-01-01  393.6
1994-04-01  396.8
1994-07-01  420.5
1994-10-01  411.4
1995-01-01  421.5
1995-04-01  422.0
1995-07-01  416.5
1995-10-01  418.1
1996-01-01  428.2
1996-04-01  436.0
1996-07-01  437.5
1996-10-01  440.9
1997-01-01  446.7
1997-04-01  452.8
1997-07-01  456.0
1997-10-01  473.6
1998-01-01  462.4
1998-04-01  469.1
1998-07-01  472.8
1998-10-01  480.9
1999-01-01  479.3
1999-04-01  496.0
1999-07-01  504.2
1999-10-01  532.2
2000-01-01  523.9
2000-04-01  519.5
2000-07-01  533.6
2000-10-01  529.2
2001-01-01  539.3
2001-04-01  536.9
2001-07-01  543.7
2001-10-01  548.6
2002-01-01  562.5
2002-04-01  565.0
2002-07-01  554.5
2002-10-01  542.5
2003-01-01  555.5
2003-04-01  555.6
2003-07-01  558.4
2003-10-01  558.0
2004-01-01  572.2
2004-04-01  578.4
2004-07-01  584.3
2004-10-01  588.1
2005-01-01  579.8
2005-04-01  600.5
2005-07-01  615.7
2005-10-01  593.2
2006-01-01  637.7
2006-04-01  604.9
2006-07-01  615.3
2006-10-01  663.2
2007-01-01  648.4
2007-04-01  643.6
2007-07-01  633.1
2007-10-01  622.8
2008-01-01  659.8
2008-04-01  674.2
2008-07-01  655.2
2008-10-01  648.6
2009-01-01  626.3
2009-04-01  622.0
2009-07-01  642.9
2009-10-01  654.4
2010-01-01  648.7
2010-04-01  645.8
2010-07-01  655.0
2010-10-01  668.3
2011-01-01  663.5
2011-04-01  676.7
2011-07-01  676.2
2011-10-01  650.2
2012-01-01  683.8
2012-04-01  670.4
2012-07-01  680.5
2012-10-01  669.8
2013-01-01  695.1
2013-04-01  705.7
2013-07-01  683.9
2013-10-01  696.4
2014-01-01  691.1
2014-04-01  688.4
2014-07-01  698.5
2014-10-01  704.6
2015-01-01  703.6
2015-04-01  687.3
2015-07-01  721.3
2015-10-01  744.7
2016-01-01  709.6
2016-04-01  751.3
2016-07-01  762.9
2016-10-01  752.7
2017-01-01  775.0
2017-04-01  776.9
2017-07-01  761.0
2017-10-01  767.9
2018-01-01  781.0
