Title:               Total Quarterly Wages in Asheville, NC (MSA)
Series ID:           ENUC117030010
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:22 AM CDT
Notes:               Total wages are the wages paid by Unemployment Insurance covered
                     employers during the calendar quarter, regardless of when the services
                     were performed.

DATE             VALUE
1990-01-01   588051577
1990-04-01   614758184
1990-07-01   618113503
1990-10-01   667285922
1991-01-01   610002392
1991-04-01   644059180
1991-07-01   648539428
1991-10-01   698166607
1992-01-01   649459421
1992-04-01   674636794
1992-07-01   700827549
1992-10-01   790346698
1993-01-01   659696612
1993-04-01   720877273
1993-07-01   751878144
1993-10-01   823877921
1994-01-01   721443223
1994-04-01   762463128
1994-07-01   795483337
1994-10-01   852276428
1995-01-01   781140657
1995-04-01   813616786
1995-07-01   821019448
1995-10-01   906037578
1996-01-01   821865080
1996-04-01   862100699
1996-07-01   875016559
1996-10-01   980788040
1997-01-01   877828258
1997-04-01   924081087
1997-07-01   943131682
1997-10-01  1055560824
1998-01-01   909639161
1998-04-01   979967705
1998-07-01  1127126511
1998-10-01  1113633352
1999-01-01   959836964
1999-04-01  1021262430
1999-07-01  1059869354
1999-10-01  1168804408
2000-01-01  1049709374
2000-04-01  1077630019
2000-07-01  1102965659
2000-10-01  1198634812
2001-01-01  1092969127
2001-04-01  1105148668
2001-07-01  1111914773
2001-10-01  1214985753
2002-01-01  1093179785
2002-04-01  1107387154
2002-07-01  1125675304
2002-10-01  1221309512
2003-01-01  1117137904
2003-04-01  1128224842
2003-07-01  1152142117
2003-10-01  1281256447
2004-01-01  1131391284
2004-04-01  1175312288
2004-07-01  1214442440
2004-10-01  1365259446
2005-01-01  1183180456
2005-04-01  1251960705
2005-07-01  1290068827
2005-10-01  1392986627
2006-01-01  1282138159
2006-04-01  1323377632
2006-07-01  1348969591
2006-10-01  1506280322
2007-01-01  1381673710
2007-04-01  1424568226
2007-07-01  1440518275
2007-10-01  1584802669
2008-01-01  1432274386
2008-04-01  1448627283
2008-07-01  1449033626
2008-10-01  1573562042
2009-01-01  1351178471
2009-04-01  1364906336
2009-07-01  1367071279
2009-10-01  1536386294
2010-01-01  1310828606
2010-04-01  1400257794
2010-07-01  1433231572
2010-10-01  1564579542
2011-01-01  1375828694
2011-04-01  1415729454
2011-07-01  1487031069
2011-10-01  1544010662
2012-01-01  1470121097
2012-04-01  1459081604
2012-07-01  1486926293
2012-10-01  1614493131
2013-01-01  1512852281
2013-04-01  1509553993
2013-07-01  1543480166
2013-10-01  1663022045
2014-01-01  1552411921
2014-04-01  1561961174
2014-07-01  1610008752
2014-10-01  1781625183
2015-01-01  1603651616
2015-04-01  1655150639
2015-07-01  1717456550
2015-10-01  1937977009
2016-01-01  1675465070
2016-04-01  1772313001
2016-07-01  1844721981
2016-10-01  1972011413
2017-01-01  1843707130
2017-04-01  1863188885
2017-07-01  1866544817
2017-10-01  2049028498
2018-01-01  1932011182
