Title:               Average Weekly Wages for Employees in State Government Establishments in Greensboro-High Point, NC (MSA)
Series ID:           ENUC246640210SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:24 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans). 
                     
                     The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at http://cran.r-project.org/web/packages/x12/x12.pdf. More
                     information on X-12-ARIMA can be found at
                     http://www.census.gov/srd/www/x12a/.

DATE        VALUE
1990-01-01  467.7
1990-04-01  477.5
1990-07-01  485.0
1990-10-01  484.2
1991-01-01  487.8
1991-04-01  499.2
1991-07-01  500.9
1991-10-01  483.0
1992-01-01  485.1
1992-04-01  471.1
1992-07-01  480.1
1992-10-01  487.5
1993-01-01  480.7
1993-04-01  478.5
1993-07-01  535.1
1993-10-01  509.7
1994-01-01  499.5
1994-04-01  506.7
1994-07-01  500.2
1994-10-01  507.1
1995-01-01  516.9
1995-04-01  523.5
1995-07-01  525.3
1995-10-01  516.6
1996-01-01  578.3
1996-04-01  520.0
1996-07-01  520.5
1996-10-01  535.7
1997-01-01  547.7
1997-04-01  560.6
1997-07-01  548.4
1997-10-01  578.3
1998-01-01  573.4
1998-04-01  569.3
1998-07-01  560.5
1998-10-01  586.4
1999-01-01  589.4
1999-04-01  601.6
1999-07-01  607.1
1999-10-01  602.3
2000-01-01  609.3
2000-04-01  604.3
2000-07-01  632.4
2000-10-01  627.5
2001-01-01  628.5
2001-04-01  633.7
2001-07-01  630.5
2001-10-01  630.3
2002-01-01  645.6
2002-04-01  656.1
2002-07-01  655.5
2002-10-01  658.5
2003-01-01  664.2
2003-04-01  663.6
2003-07-01  661.5
2003-10-01  676.6
2004-01-01  680.4
2004-04-01  685.6
2004-07-01  702.5
2004-10-01  698.2
2005-01-01  706.4
2005-04-01  720.3
2005-07-01  716.3
2005-10-01  732.0
2006-01-01  737.7
2006-04-01  739.7
2006-07-01  766.0
2006-10-01  771.3
2007-01-01  783.4
2007-04-01  803.0
2007-07-01  813.2
2007-10-01  817.8
2008-01-01  825.6
2008-04-01  832.8
2008-07-01  837.6
2008-10-01  841.0
2009-01-01  839.8
2009-04-01  835.4
2009-07-01  844.1
2009-10-01  848.6
2010-01-01  844.3
2010-04-01  829.5
2010-07-01  836.5
2010-10-01  833.9
2011-01-01  833.0
2011-04-01  845.2
2011-07-01  843.4
2011-10-01  841.7
2012-01-01  854.3
2012-04-01  859.2
2012-07-01  854.2
2012-10-01  863.4
2013-01-01  864.1
2013-04-01  863.7
2013-07-01  858.9
2013-10-01  852.7
2014-01-01  857.1
2014-04-01  856.3
2014-07-01  862.5
2014-10-01  857.6
2015-01-01  872.9
2015-04-01  878.8
2015-07-01  883.4
2015-10-01  923.9
2016-01-01  887.9
2016-04-01  893.4
2016-07-01  913.7
2016-10-01  946.1
2017-01-01  910.3
2017-04-01  929.8
2017-07-01  924.8
2017-10-01  922.6
2018-01-01  934.9
