Title:               Average Weekly Wages for Employees in Federal Government Establishments in Virginia Beach-Norfolk-Newport News, VA-NC (MSA)
Series ID:           ENUC472640110SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:21 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans). 
                     
                     The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at http://cran.r-project.org/web/packages/x12/x12.pdf. More
                     information on X-12-ARIMA can be found at
                     http://www.census.gov/srd/www/x12a/.

DATE         VALUE
1990-01-01   528.7
1990-04-01   535.1
1990-07-01   514.9
1990-10-01   547.5
1991-01-01   559.1
1991-04-01   571.0
1991-07-01   573.1
1991-10-01   574.9
1992-01-01   590.6
1992-04-01   589.3
1992-07-01   611.0
1992-10-01   629.0
1993-01-01   618.2
1993-04-01   614.7
1993-07-01   642.8
1993-10-01   653.9
1994-01-01   663.6
1994-04-01   666.9
1994-07-01   684.2
1994-10-01   687.4
1995-01-01   696.6
1995-04-01   696.9
1995-07-01   703.1
1995-10-01   712.9
1996-01-01   735.0
1996-04-01   709.9
1996-07-01   744.5
1996-10-01   688.6
1997-01-01   725.3
1997-04-01   760.9
1997-07-01   760.1
1997-10-01   810.3
1998-01-01   767.8
1998-04-01   832.8
1998-07-01   752.1
1998-10-01   839.5
1999-01-01   745.3
1999-04-01   814.3
1999-07-01   770.9
1999-10-01   780.1
2000-01-01   846.2
2000-04-01   763.1
2000-07-01   882.0
2000-10-01   813.9
2001-01-01   896.7
2001-04-01   881.9
2001-07-01   852.1
2001-10-01   939.5
2002-01-01   957.1
2002-04-01   957.5
2002-07-01   993.9
2002-10-01   974.6
2003-01-01   987.2
2003-04-01  1013.1
2003-07-01  1050.5
2003-10-01  1001.7
2004-01-01  1073.5
2004-04-01  1034.9
2004-07-01  1053.3
2004-10-01  1058.8
2005-01-01  1037.7
2005-04-01  1029.3
2005-07-01  1146.9
2005-10-01  1119.5
2006-01-01  1115.9
2006-04-01  1165.7
2006-07-01  1084.0
2006-10-01  1147.7
2007-01-01  1160.0
2007-04-01  1189.4
2007-07-01  1268.8
2007-10-01  1191.8
2008-01-01  1197.0
2008-04-01  1228.0
2008-07-01  1168.8
2008-10-01  1273.1
2009-01-01  1215.9
2009-04-01  1244.1
2009-07-01  1233.7
2009-10-01  1296.3
2010-01-01  1223.0
2010-04-01  1287.2
2010-07-01  1220.0
2010-10-01  1369.4
2011-01-01  1222.9
2011-04-01  1380.9
2011-07-01  1359.2
2011-10-01  1279.4
2012-01-01  1332.5
2012-04-01  1238.4
2012-07-01  1327.7
2012-10-01  1295.3
2013-01-01  1317.7
2013-04-01  1278.4
2013-07-01  1253.6
2013-10-01  1241.2
2014-01-01  1349.1
2014-04-01  1331.1
2014-07-01  1362.1
2014-10-01  1296.7
2015-01-01  1456.7
2015-04-01  1370.0
2015-07-01  1438.6
2015-10-01  1354.9
2016-01-01  1348.1
2016-04-01  1352.1
2016-07-01  1491.0
2016-10-01  1500.1
2017-01-01  1415.8
2017-04-01  1572.3
2017-07-01  1390.7
2017-10-01  1518.5
2018-01-01  1464.4
