Title:               Average Weekly Wages for Employees in Federal Government Establishments in Charlotte-Gastonia-Rock Hill, NC-SC (MSA)
Series ID:           ENUC167440110SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:24 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans). 
                     
                     The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at http://cran.r-project.org/web/packages/x12/x12.pdf. More
                     information on X-12-ARIMA can be found at
                     http://www.census.gov/srd/www/x12a/.

DATE         VALUE
1990-01-01   593.5
1990-04-01   524.1
1990-07-01   576.1
1990-10-01   593.6
1991-01-01   614.1
1991-04-01   663.6
1991-07-01   676.0
1991-10-01   649.9
1992-01-01   716.1
1992-04-01   710.1
1992-07-01   707.4
1992-10-01   776.6
1993-01-01   738.1
1993-04-01   754.5
1993-07-01   754.8
1993-10-01   737.2
1994-01-01   737.8
1994-04-01   738.4
1994-07-01   783.7
1994-10-01   756.5
1995-01-01   770.0
1995-04-01   743.0
1995-07-01   764.3
1995-10-01   780.6
1996-01-01   777.8
1996-04-01   809.7
1996-07-01   778.9
1996-10-01   824.6
1997-01-01   822.6
1997-04-01   816.6
1997-07-01   805.9
1997-10-01   808.0
1998-01-01   802.9
1998-04-01   831.4
1998-07-01   822.4
1998-10-01   819.0
1999-01-01   797.5
1999-04-01   866.1
1999-07-01   837.3
1999-10-01   880.0
2000-01-01   878.1
2000-04-01   764.5
2000-07-01   822.9
2000-10-01   869.0
2001-01-01   933.7
2001-04-01   916.5
2001-07-01   948.2
2001-10-01   915.1
2002-01-01   939.9
2002-04-01   984.1
2002-07-01   975.8
2002-10-01   979.8
2003-01-01   984.6
2003-04-01   983.3
2003-07-01  1009.1
2003-10-01   992.7
2004-01-01  1091.8
2004-04-01  1018.6
2004-07-01  1105.5
2004-10-01  1099.1
2005-01-01  1072.1
2005-04-01  1122.5
2005-07-01  1035.1
2005-10-01  1073.9
2006-01-01  1087.6
2006-04-01  1092.3
2006-07-01  1212.7
2006-10-01  1115.5
2007-01-01  1156.4
2007-04-01  1188.2
2007-07-01  1136.6
2007-10-01  1187.8
2008-01-01  1136.1
2008-04-01  1186.6
2008-07-01  1140.2
2008-10-01  1193.1
2009-01-01  1158.3
2009-04-01  1146.6
2009-07-01  1208.9
2009-10-01  1212.5
2010-01-01  1171.2
2010-04-01  1141.3
2010-07-01  1146.0
2010-10-01  1315.3
2011-01-01  1199.9
2011-04-01  1373.8
2011-07-01  1313.8
2011-10-01  1282.7
2012-01-01  1313.5
2012-04-01  1294.6
2012-07-01  1318.4
2012-10-01  1336.3
2013-01-01  1319.3
2013-04-01  1330.2
2013-07-01  1354.3
2013-10-01  1265.2
2014-01-01  1383.7
2014-04-01  1342.2
2014-07-01  1369.9
2014-10-01  1291.0
2015-01-01  1426.3
2015-04-01  1344.4
2015-07-01  1379.3
2015-10-01  1349.4
2016-01-01  1313.7
2016-04-01  1342.3
2016-07-01  1425.6
2016-10-01  1431.2
2017-01-01  1376.1
2017-04-01  1449.8
2017-07-01  1341.5
2017-10-01  1417.3
2018-01-01  1425.1
