Title:               Average Weekly Wages for Employees in Private Establishments in Winston-Salem, NC (MSA)
Series ID:           ENUC491840510SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:22 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans). 
                     
                     The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at http://cran.r-project.org/web/packages/x12/x12.pdf. More
                     information on X-12-ARIMA can be found at
                     http://www.census.gov/srd/www/x12a/.

DATE        VALUE
1990-01-01  449.0
1990-04-01  435.2
1990-07-01  437.4
1990-10-01  437.7
1991-01-01  447.8
1991-04-01  462.5
1991-07-01  456.9
1991-10-01  449.9
1992-01-01  467.4
1992-04-01  468.3
1992-07-01  472.5
1992-10-01  504.8
1993-01-01  458.7
1993-04-01  484.0
1993-07-01  487.1
1993-10-01  510.4
1994-01-01  482.1
1994-04-01  490.0
1994-07-01  512.5
1994-10-01  497.8
1995-01-01  522.7
1995-04-01  512.4
1995-07-01  514.8
1995-10-01  512.0
1996-01-01  527.4
1996-04-01  529.5
1996-07-01  531.0
1996-10-01  529.8
1997-01-01  548.2
1997-04-01  548.7
1997-07-01  548.4
1997-10-01  574.5
1998-01-01  565.4
1998-04-01  581.3
1998-07-01  581.3
1998-10-01  597.2
1999-01-01  572.0
1999-04-01  592.5
1999-07-01  610.3
1999-10-01  602.6
2000-01-01  635.0
2000-04-01  617.6
2000-07-01  626.7
2000-10-01  663.3
2001-01-01  653.2
2001-04-01  656.6
2001-07-01  636.8
2001-10-01  636.7
2002-01-01  656.0
2002-04-01  665.8
2002-07-01  662.8
2002-10-01  656.1
2003-01-01  679.2
2003-04-01  679.0
2003-07-01  689.4
2003-10-01  687.3
2004-01-01  697.8
2004-04-01  684.5
2004-07-01  733.2
2004-10-01  727.6
2005-01-01  691.5
2005-04-01  706.5
2005-07-01  736.8
2005-10-01  709.1
2006-01-01  724.3
2006-04-01  725.5
2006-07-01  732.6
2006-10-01  741.5
2007-01-01  745.6
2007-04-01  772.4
2007-07-01  746.5
2007-10-01  752.2
2008-01-01  784.8
2008-04-01  760.8
2008-07-01  764.6
2008-10-01  771.8
2009-01-01  757.9
2009-04-01  769.2
2009-07-01  768.3
2009-10-01  791.0
2010-01-01  772.0
2010-04-01  806.9
2010-07-01  794.6
2010-10-01  821.5
2011-01-01  825.9
2011-04-01  820.8
2011-07-01  850.6
2011-10-01  801.4
2012-01-01  868.5
2012-04-01  827.1
2012-07-01  834.0
2012-10-01  837.3
2013-01-01  808.8
2013-04-01  825.8
2013-07-01  821.0
2013-10-01  819.9
2014-01-01  880.6
2014-04-01  832.4
2014-07-01  858.5
2014-10-01  859.0
2015-01-01  869.3
2015-04-01  913.0
2015-07-01  855.6
2015-10-01  898.9
2016-01-01  867.5
2016-04-01  864.5
2016-07-01  882.2
2016-10-01  883.3
2017-01-01  946.4
2017-04-01  917.3
2017-07-01  939.3
2017-10-01  932.4
2018-01-01  908.9
