Title:               Average Weekly Wages for Employees in State Government Establishments in Burlington, NC (MSA)
Series ID:           ENUC155040210SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:24 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans). 
                     
                     The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at http://cran.r-project.org/web/packages/x12/x12.pdf. More
                     information on X-12-ARIMA can be found at
                     http://www.census.gov/srd/www/x12a/.

DATE        VALUE
1990-01-01  299.9
1990-04-01  336.7
1990-07-01  288.5
1990-10-01  331.5
1991-01-01  339.1
1991-04-01  344.1
1991-07-01  324.3
1991-10-01  321.0
1992-01-01  372.9
1992-04-01  345.4
1992-07-01  407.5
1992-10-01  381.9
1993-01-01  364.5
1993-04-01  354.2
1993-07-01  427.7
1993-10-01  400.1
1994-01-01  383.8
1994-04-01  400.4
1994-07-01  400.0
1994-10-01  398.4
1995-01-01  394.9
1995-04-01  407.2
1995-07-01  380.6
1995-10-01  402.1
1996-01-01  413.4
1996-04-01  409.9
1996-07-01  400.0
1996-10-01  420.1
1997-01-01  410.9
1997-04-01  424.9
1997-07-01  422.6
1997-10-01  426.5
1998-01-01  430.6
1998-04-01  435.9
1998-07-01  434.3
1998-10-01  474.1
1999-01-01  444.9
1999-04-01  460.2
1999-07-01  447.0
1999-10-01  455.4
2000-01-01  472.3
2000-04-01  447.9
2000-07-01  485.6
2000-10-01  479.5
2001-01-01  484.5
2001-04-01  482.9
2001-07-01  484.5
2001-10-01  480.8
2002-01-01  502.5
2002-04-01  516.2
2002-07-01  526.7
2002-10-01  522.5
2003-01-01  554.3
2003-04-01  482.9
2003-07-01  493.3
2003-10-01  497.4
2004-01-01  503.9
2004-04-01  497.4
2004-07-01  528.2
2004-10-01  516.6
2005-01-01  518.7
2005-04-01  534.9
2005-07-01  542.4
2005-10-01  558.6
2006-01-01  554.7
2006-04-01  577.2
2006-07-01  561.6
2006-10-01  577.6
2007-01-01  576.5
2007-04-01  592.3
2007-07-01  587.9
2007-10-01  624.6
2008-01-01  606.9
2008-04-01  603.5
2008-07-01  616.4
2008-10-01  623.7
2009-01-01  619.2
2009-04-01  612.6
2009-07-01  610.5
2009-10-01  611.7
2010-01-01  653.2
2010-04-01  606.3
2010-07-01  622.0
2010-10-01  629.6
2011-01-01  627.1
2011-04-01  649.1
2011-07-01  642.6
2011-10-01  633.5
2012-01-01  639.6
2012-04-01  626.5
2012-07-01  653.5
2012-10-01  641.2
2013-01-01  666.5
2013-04-01  657.3
2013-07-01  649.1
2013-10-01  654.2
2014-01-01  656.9
2014-04-01  649.3
2014-07-01  659.5
2014-10-01  631.4
2015-01-01  640.7
2015-04-01  644.9
2015-07-01  642.8
2015-10-01  670.4
2016-01-01  656.4
2016-04-01  666.2
2016-07-01  677.0
2016-10-01  701.4
2017-01-01  675.3
2017-04-01  685.8
2017-07-01  674.6
2017-10-01  678.1
2018-01-01  687.9
