Title:               Average Weekly Wages for Employees in Private Establishments in Greensboro-High Point, NC (MSA)
Series ID:           ENUC246640510SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:24 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans). 
                     
                     The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at http://cran.r-project.org/web/packages/x12/x12.pdf. More
                     information on X-12-ARIMA can be found at
                     http://www.census.gov/srd/www/x12a/.

DATE        VALUE
1990-01-01  404.0
1990-04-01  403.2
1990-07-01  395.7
1990-10-01  400.8
1991-01-01  405.2
1991-04-01  416.7
1991-07-01  417.0
1991-10-01  414.0
1992-01-01  431.4
1992-04-01  435.6
1992-07-01  451.7
1992-10-01  469.0
1993-01-01  427.6
1993-04-01  448.5
1993-07-01  449.7
1993-10-01  463.5
1994-01-01  448.0
1994-04-01  454.6
1994-07-01  471.4
1994-10-01  466.9
1995-01-01  483.9
1995-04-01  479.5
1995-07-01  478.9
1995-10-01  483.9
1996-01-01  496.7
1996-04-01  500.9
1996-07-01  498.7
1996-10-01  507.7
1997-01-01  511.6
1997-04-01  514.3
1997-07-01  516.5
1997-10-01  530.2
1998-01-01  530.3
1998-04-01  546.6
1998-07-01  550.3
1998-10-01  583.2
1999-01-01  552.3
1999-04-01  580.4
1999-07-01  587.9
1999-10-01  591.0
2000-01-01  588.9
2000-04-01  591.7
2000-07-01  594.4
2000-10-01  592.8
2001-01-01  605.7
2001-04-01  605.0
2001-07-01  609.5
2001-10-01  610.3
2002-01-01  614.6
2002-04-01  617.3
2002-07-01  616.6
2002-10-01  613.6
2003-01-01  628.6
2003-04-01  622.4
2003-07-01  630.9
2003-10-01  642.8
2004-01-01  635.0
2004-04-01  645.6
2004-07-01  650.1
2004-10-01  671.7
2005-01-01  642.5
2005-04-01  658.1
2005-07-01  683.2
2005-10-01  674.6
2006-01-01  678.6
2006-04-01  685.3
2006-07-01  676.3
2006-10-01  693.1
2007-01-01  717.6
2007-04-01  708.4
2007-07-01  697.1
2007-10-01  703.2
2008-01-01  720.8
2008-04-01  719.4
2008-07-01  724.0
2008-10-01  712.7
2009-01-01  701.5
2009-04-01  717.3
2009-07-01  720.2
2009-10-01  740.1
2010-01-01  715.0
2010-04-01  742.4
2010-07-01  750.2
2010-10-01  756.6
2011-01-01  742.9
2011-04-01  757.7
2011-07-01  781.9
2011-10-01  745.3
2012-01-01  789.0
2012-04-01  769.6
2012-07-01  778.1
2012-10-01  791.5
2013-01-01  800.8
2013-04-01  799.1
2013-07-01  782.0
2013-10-01  794.3
2014-01-01  813.9
2014-04-01  801.2
2014-07-01  814.4
2014-10-01  823.4
2015-01-01  822.1
2015-04-01  824.0
2015-07-01  830.3
2015-10-01  857.9
2016-01-01  800.9
2016-04-01  842.6
2016-07-01  858.4
2016-10-01  826.2
2017-01-01  860.5
2017-04-01  868.7
2017-07-01  863.7
2017-10-01  870.7
2018-01-01  879.4
