Title:               Average Weekly Wages for Employees in Total Covered Establishments in Hickory-Lenoir-Morganton, NC (MSA)
Series ID:           ENUC258640010SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:23 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans). 
                     
                     The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at http://cran.r-project.org/web/packages/x12/x12.pdf. More
                     information on X-12-ARIMA can be found at
                     http://www.census.gov/srd/www/x12a/.

DATE        VALUE
1990-01-01  354.5
1990-04-01  353.6
1990-07-01  354.2
1990-10-01  354.5
1991-01-01  356.7
1991-04-01  367.0
1991-07-01  366.4
1991-10-01  367.3
1992-01-01  378.5
1992-04-01  379.4
1992-07-01  378.7
1992-10-01  395.1
1993-01-01  380.4
1993-04-01  388.7
1993-07-01  405.9
1993-10-01  404.2
1994-01-01  398.7
1994-04-01  403.8
1994-07-01  417.0
1994-10-01  423.7
1995-01-01  423.0
1995-04-01  418.5
1995-07-01  413.7
1995-10-01  416.2
1996-01-01  425.7
1996-04-01  433.2
1996-07-01  431.8
1996-10-01  439.1
1997-01-01  449.8
1997-04-01  453.2
1997-07-01  450.5
1997-10-01  460.4
1998-01-01  465.2
1998-04-01  477.0
1998-07-01  483.0
1998-10-01  496.7
1999-01-01  479.8
1999-04-01  488.9
1999-07-01  514.4
1999-10-01  513.3
2000-01-01  520.8
2000-04-01  517.2
2000-07-01  514.8
2000-10-01  514.4
2001-01-01  530.5
2001-04-01  520.1
2001-07-01  522.6
2001-10-01  528.2
2002-01-01  536.7
2002-04-01  544.4
2002-07-01  536.2
2002-10-01  536.4
2003-01-01  544.2
2003-04-01  544.2
2003-07-01  543.3
2003-10-01  558.5
2004-01-01  551.0
2004-04-01  561.5
2004-07-01  580.9
2004-10-01  580.4
2005-01-01  565.1
2005-04-01  578.4
2005-07-01  597.6
2005-10-01  575.1
2006-01-01  612.7
2006-04-01  599.0
2006-07-01  596.5
2006-10-01  601.8
2007-01-01  626.7
2007-04-01  620.1
2007-07-01  620.4
2007-10-01  622.5
2008-01-01  635.0
2008-04-01  637.3
2008-07-01  624.3
2008-10-01  628.0
2009-01-01  607.0
2009-04-01  617.2
2009-07-01  622.7
2009-10-01  647.7
2010-01-01  615.9
2010-04-01  643.0
2010-07-01  651.8
2010-10-01  656.5
2011-01-01  651.0
2011-04-01  651.3
2011-07-01  672.4
2011-10-01  656.0
2012-01-01  667.0
2012-04-01  663.8
2012-07-01  659.7
2012-10-01  667.2
2013-01-01  670.2
2013-04-01  671.0
2013-07-01  672.8
2013-10-01  667.8
2014-01-01  676.4
2014-04-01  687.6
2014-07-01  688.3
2014-10-01  700.1
2015-01-01  700.0
2015-04-01  710.8
2015-07-01  719.7
2015-10-01  754.9
2016-01-01  696.7
2016-04-01  731.3
2016-07-01  758.0
2016-10-01  746.0
2017-01-01  767.8
2017-04-01  761.2
2017-07-01  755.0
2017-10-01  765.7
2018-01-01  786.2
