Title:               Average Weekly Wages for Employees in State Government Establishments in Burlington, NC (MSA)
Series ID:           ENUC155040210
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:24 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   298
1990-04-01   300
1990-07-01   343
1990-10-01   317
1991-01-01   335
1991-04-01   308
1991-07-01   379
1991-10-01   308
1992-01-01   366
1992-04-01   311
1992-07-01   461
1992-10-01   371
1993-01-01   355
1993-04-01   323
1993-07-01   477
1993-10-01   393
1994-01-01   371
1994-04-01   375
1994-07-01   442
1994-10-01   395
1995-01-01   380
1995-04-01   389
1995-07-01   413
1995-10-01   402
1996-01-01   398
1996-04-01   399
1996-07-01   423
1996-10-01   421
1997-01-01   399
1997-04-01   416
1997-07-01   441
1997-10-01   427
1998-01-01   422
1998-04-01   426
1998-07-01   453
1998-10-01   472
1999-01-01   440
1999-04-01   447
1999-07-01   469
1999-10-01   450
2000-01-01   470
2000-04-01   432
2000-07-01   511
2000-10-01   471
2001-01-01   485
2001-04-01   463
2001-07-01   514
2001-10-01   471
2002-01-01   503
2002-04-01   494
2002-07-01   559
2002-10-01   513
2003-01-01   553
2003-04-01   460
2003-07-01   527
2003-10-01   490
2004-01-01   499
2004-04-01   476
2004-07-01   561
2004-10-01   512
2005-01-01   511
2005-04-01   514
2005-07-01   575
2005-10-01   556
2006-01-01   545
2006-04-01   557
2006-07-01   594
2006-10-01   575
2007-01-01   567
2007-04-01   572
2007-07-01   621
2007-10-01   620
2008-01-01   599
2008-04-01   583
2008-07-01   651
2008-10-01   615
2009-01-01   615
2009-04-01   590
2009-07-01   649
2009-10-01   597
2010-01-01   653
2010-04-01   582
2010-07-01   664
2010-10-01   609
2011-01-01   631
2011-04-01   623
2011-07-01   688
2011-10-01   608
2012-01-01   646
2012-04-01   600
2012-07-01   700
2012-10-01   614
2013-01-01   674
2013-04-01   630
2013-07-01   696
2013-10-01   628
2014-01-01   663
2014-04-01   623
2014-07-01   704
2014-10-01   609
2015-01-01   644
2015-04-01   620
2015-07-01   685
2015-10-01   652
2016-01-01   656
2016-04-01   644
2016-07-01   716
2016-10-01   687
2017-01-01   672
2017-04-01   665
2017-07-01   712
2017-10-01   666
2018-01-01   683
