Title:               Average Weekly Wages for Employees in Federal Government Establishments in Greenville, NC (MSA)
Series ID:           ENUC247840110SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:24 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans). 
                     
                     The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at http://cran.r-project.org/web/packages/x12/x12.pdf. More
                     information on X-12-ARIMA can be found at
                     http://www.census.gov/srd/www/x12a/.

DATE         VALUE
1990-01-01   448.7
1990-04-01   361.7
1990-07-01   532.3
1990-10-01   564.1
1991-01-01   639.2
1991-04-01   653.1
1991-07-01   629.4
1991-10-01   573.4
1992-01-01   640.5
1992-04-01   666.8
1992-07-01   645.4
1992-10-01   743.9
1993-01-01   666.0
1993-04-01   677.2
1993-07-01   698.1
1993-10-01   683.7
1994-01-01   682.4
1994-04-01   719.5
1994-07-01   775.9
1994-10-01   734.2
1995-01-01   674.6
1995-04-01   639.7
1995-07-01   626.2
1995-10-01   656.5
1996-01-01   683.0
1996-04-01   696.4
1996-07-01   698.3
1996-10-01   697.5
1997-01-01   725.3
1997-04-01   710.1
1997-07-01   702.6
1997-10-01   702.1
1998-01-01   691.7
1998-04-01   750.3
1998-07-01   727.9
1998-10-01   731.4
1999-01-01   712.3
1999-04-01   751.7
1999-07-01   761.0
1999-10-01   764.2
2000-01-01   671.1
2000-04-01   579.8
2000-07-01   595.0
2000-10-01   766.1
2001-01-01   815.1
2001-04-01   828.4
2001-07-01   827.4
2001-10-01   790.1
2002-01-01   860.1
2002-04-01   857.7
2002-07-01   854.6
2002-10-01   827.2
2003-01-01   821.6
2003-04-01   825.9
2003-07-01   799.0
2003-10-01   779.5
2004-01-01   878.2
2004-04-01   816.5
2004-07-01   908.5
2004-10-01   878.6
2005-01-01   866.9
2005-04-01   907.3
2005-07-01   903.0
2005-10-01   906.5
2006-01-01   927.0
2006-04-01   947.9
2006-07-01  1011.0
2006-10-01   941.8
2007-01-01   982.5
2007-04-01  1039.4
2007-07-01   974.1
2007-10-01  1062.4
2008-01-01  1021.7
2008-04-01  1100.1
2008-07-01  1022.0
2008-10-01  1092.6
2009-01-01   971.3
2009-04-01   998.1
2009-07-01  1087.5
2009-10-01  1127.4
2010-01-01  1071.4
2010-04-01   949.3
2010-07-01  1003.4
2010-10-01  1243.7
2011-01-01  1125.0
2011-04-01  1316.0
2011-07-01  1255.6
2011-10-01  1211.3
2012-01-01  1249.9
2012-04-01  1240.3
2012-07-01  1262.9
2012-10-01  1235.6
2013-01-01  1249.2
2013-04-01  1288.2
2013-07-01  1282.9
2013-10-01  1220.3
2014-01-01  1333.3
2014-04-01  1282.8
2014-07-01  1276.9
2014-10-01  1202.1
2015-01-01  1311.2
2015-04-01  1234.2
2015-07-01  1311.2
2015-10-01  1270.1
2016-01-01  1234.4
2016-04-01  1268.0
2016-07-01  1370.3
2016-10-01  1423.3
2017-01-01  1339.1
2017-04-01  1479.3
2017-07-01  1249.8
2017-10-01  1414.2
2018-01-01  1383.9
