Title:               Average Weekly Wages for Employees in Private Establishments in Wilmington, NC (MSA)
Series ID:           ENUC489040510SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:22 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans). 
                     
                     The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at http://cran.r-project.org/web/packages/x12/x12.pdf. More
                     information on X-12-ARIMA can be found at
                     http://www.census.gov/srd/www/x12a/.

DATE        VALUE
1990-01-01  355.9
1990-04-01  351.2
1990-07-01  359.9
1990-10-01  356.4
1991-01-01  373.9
1991-04-01  384.8
1991-07-01  377.0
1991-10-01  378.0
1992-01-01  387.1
1992-04-01  380.0
1992-07-01  389.2
1992-10-01  401.6
1993-01-01  387.6
1993-04-01  398.5
1993-07-01  401.0
1993-10-01  412.0
1994-01-01  399.8
1994-04-01  418.3
1994-07-01  421.5
1994-10-01  410.7
1995-01-01  424.6
1995-04-01  424.3
1995-07-01  425.6
1995-10-01  419.8
1996-01-01  445.4
1996-04-01  433.8
1996-07-01  441.1
1996-10-01  446.9
1997-01-01  453.3
1997-04-01  448.3
1997-07-01  459.2
1997-10-01  466.9
1998-01-01  462.5
1998-04-01  470.7
1998-07-01  474.3
1998-10-01  477.9
1999-01-01  468.7
1999-04-01  493.9
1999-07-01  490.6
1999-10-01  516.6
2000-01-01  514.1
2000-04-01  514.3
2000-07-01  513.6
2000-10-01  519.6
2001-01-01  549.7
2001-04-01  535.2
2001-07-01  535.0
2001-10-01  523.8
2002-01-01  529.1
2002-04-01  527.9
2002-07-01  526.8
2002-10-01  522.9
2003-01-01  523.3
2003-04-01  526.5
2003-07-01  534.8
2003-10-01  540.8
2004-01-01  540.0
2004-04-01  548.5
2004-07-01  554.8
2004-10-01  582.5
2005-01-01  564.1
2005-04-01  583.6
2005-07-01  608.6
2005-10-01  601.3
2006-01-01  612.7
2006-04-01  615.1
2006-07-01  607.1
2006-10-01  619.2
2007-01-01  626.9
2007-04-01  631.7
2007-07-01  639.2
2007-10-01  641.8
2008-01-01  650.0
2008-04-01  653.6
2008-07-01  652.3
2008-10-01  650.4
2009-01-01  657.3
2009-04-01  656.5
2009-07-01  667.2
2009-10-01  691.0
2010-01-01  663.5
2010-04-01  686.8
2010-07-01  687.4
2010-10-01  703.2
2011-01-01  686.4
2011-04-01  707.2
2011-07-01  726.5
2011-10-01  688.8
2012-01-01  703.0
2012-04-01  695.7
2012-07-01  689.2
2012-10-01  694.9
2013-01-01  719.9
2013-04-01  711.5
2013-07-01  718.8
2013-10-01  718.5
2014-01-01  729.4
2014-04-01  728.4
2014-07-01  729.1
2014-10-01  746.9
2015-01-01  739.6
2015-04-01  741.8
2015-07-01  752.7
2015-10-01  775.0
2016-01-01  751.5
2016-04-01  762.9
2016-07-01  801.9
2016-10-01  784.9
2017-01-01  806.8
2017-04-01  861.9
2017-07-01  798.5
2017-10-01  794.2
2018-01-01  826.4
