Title:               Number of Private Establishments for All Industries in Mitchell County, NC
Series ID:           ENU3712120510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Establishments
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:25 AM CDT
Notes:               An establishment is an economic unit, such as a factory, mine, store,
                     or office that produces goods or services. It generally is at a single
                     location and is engaged predominantly in one type of economic
                     activity. Where a single location encompasses two or more distinct
                     activities, these are treated as separate establishments, if separate
                     payroll records are available, and the various activities are
                     classified under different industry codes.

DATE       VALUE
1990-01-01   292
1990-04-01   292
1990-07-01   293
1990-10-01   293
1991-01-01   295
1991-04-01   302
1991-07-01   302
1991-10-01   308
1992-01-01   293
1992-04-01   298
1992-07-01   303
1992-10-01   308
1993-01-01   299
1993-04-01   302
1993-07-01   303
1993-10-01   300
1994-01-01   297
1994-04-01   303
1994-07-01   309
1994-10-01   310
1995-01-01   315
1995-04-01   319
1995-07-01   320
1995-10-01   321
1996-01-01   318
1996-04-01   320
1996-07-01   315
1996-10-01   312
1997-01-01   313
1997-04-01   323
1997-07-01   326
1997-10-01   329
1998-01-01   331
1998-04-01   335
1998-07-01   330
1998-10-01   332
1999-01-01   334
1999-04-01   342
1999-07-01   340
1999-10-01   337
2000-01-01   334
2000-04-01   339
2000-07-01   336
2000-10-01   339
2001-01-01   340
2001-04-01   344
2001-07-01   347
2001-10-01   348
2002-01-01   363
2002-04-01   365
2002-07-01   364
2002-10-01   362
2003-01-01   356
2003-04-01   353
2003-07-01   352
2003-10-01   362
2004-01-01   362
2004-04-01   365
2004-07-01   368
2004-10-01   372
2005-01-01   381
2005-04-01   388
2005-07-01   400
2005-10-01   402
2006-01-01   405
2006-04-01   406
2006-07-01   408
2006-10-01   404
2007-01-01   414
2007-04-01   409
2007-07-01   409
2007-10-01   413
2008-01-01   400
2008-04-01   397
2008-07-01   399
2008-10-01   401
2009-01-01   405
2009-04-01   398
2009-07-01   394
2009-10-01   400
2010-01-01   399
2010-04-01   396
2010-07-01   396
2010-10-01   396
2011-01-01   382
2011-04-01   381
2011-07-01   380
2011-10-01   379
2012-01-01   383
2012-04-01   381
2012-07-01   379
2012-10-01   379
2013-01-01   370
2013-04-01   369
2013-07-01   367
2013-10-01   364
2014-01-01   363
2014-04-01   360
2014-07-01   357
2014-10-01   356
2015-01-01   358
2015-04-01   358
2015-07-01   361
2015-10-01   363
2016-01-01   355
2016-04-01   354
2016-07-01   348
2016-10-01   345
2017-01-01   345
2017-04-01   353
2017-07-01   352
2017-10-01   352
2018-01-01   352
