Title:               Average Weekly Wages for Employees in Federal Government Establishments in Wilmington, NC (MSA)
Series ID:           ENUC489040110SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:23 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans). 
                     
                     The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at http://cran.r-project.org/web/packages/x12/x12.pdf. More
                     information on X-12-ARIMA can be found at
                     http://www.census.gov/srd/www/x12a/.

DATE         VALUE
1990-01-01   554.7
1990-04-01   528.0
1990-07-01   604.7
1990-10-01   604.8
1991-01-01   642.0
1991-04-01   653.5
1991-07-01   597.9
1991-10-01   605.2
1992-01-01   656.2
1992-04-01   660.7
1992-07-01   681.3
1992-10-01   734.3
1993-01-01   666.0
1993-04-01   717.5
1993-07-01   755.8
1993-10-01   713.8
1994-01-01   700.8
1994-04-01   739.5
1994-07-01   741.4
1994-10-01   752.5
1995-01-01   723.6
1995-04-01   729.5
1995-07-01   745.3
1995-10-01   745.3
1996-01-01   741.3
1996-04-01   748.0
1996-07-01   725.3
1996-10-01   753.7
1997-01-01   816.9
1997-04-01   793.9
1997-07-01   819.0
1997-10-01   778.5
1998-01-01   796.9
1998-04-01   803.5
1998-07-01   816.5
1998-10-01   859.4
1999-01-01   770.4
1999-04-01   844.0
1999-07-01   801.5
1999-10-01   837.5
2000-01-01   779.2
2000-04-01   774.9
2000-07-01   823.9
2000-10-01   826.5
2001-01-01   882.5
2001-04-01   876.3
2001-07-01   897.9
2001-10-01   918.4
2002-01-01   962.1
2002-04-01   968.6
2002-07-01   932.0
2002-10-01   971.5
2003-01-01   963.4
2003-04-01  1000.1
2003-07-01   981.9
2003-10-01  1021.3
2004-01-01  1030.3
2004-04-01  1080.4
2004-07-01  1137.7
2004-10-01  1052.7
2005-01-01  1111.5
2005-04-01  1105.0
2005-07-01  1102.9
2005-10-01  1081.7
2006-01-01  1133.8
2006-04-01  1123.7
2006-07-01  1172.7
2006-10-01  1107.1
2007-01-01  1164.1
2007-04-01  1160.3
2007-07-01  1200.9
2007-10-01  1159.7
2008-01-01  1164.1
2008-04-01  1194.8
2008-07-01  1090.5
2008-10-01  1216.4
2009-01-01  1151.8
2009-04-01  1156.3
2009-07-01  1234.3
2009-10-01  1216.8
2010-01-01  1146.8
2010-04-01   963.6
2010-07-01  1121.4
2010-10-01  1282.1
2011-01-01  1208.9
2011-04-01  1370.6
2011-07-01  1287.8
2011-10-01  1329.0
2012-01-01  1274.3
2012-04-01  1297.5
2012-07-01  1274.1
2012-10-01  1281.4
2013-01-01  1323.5
2013-04-01  1377.4
2013-07-01  1359.6
2013-10-01  1308.9
2014-01-01  1400.5
2014-04-01  1382.8
2014-07-01  1407.4
2014-10-01  1357.7
2015-01-01  1392.4
2015-04-01  1353.2
2015-07-01  1380.7
2015-10-01  1400.3
2016-01-01  1383.0
2016-04-01  1281.1
2016-07-01  1466.7
2016-10-01  1380.8
2017-01-01  1392.3
2017-04-01  1358.9
2017-07-01  1379.8
2017-10-01  1365.8
2018-01-01  1339.9
