Title:               Average Weekly Wages for Employees in State Government Establishments in Goldsboro, NC (MSA)
Series ID:           ENUC241440210SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:23 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans). 
                     
                     The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at http://cran.r-project.org/web/packages/x12/x12.pdf. More
                     information on X-12-ARIMA can be found at
                     http://www.census.gov/srd/www/x12a/.

DATE         VALUE
1990-01-01   436.3
1990-04-01   451.6
1990-07-01   453.5
1990-10-01   464.1
1991-01-01   470.6
1991-04-01   481.1
1991-07-01   466.5
1991-10-01   465.6
1992-01-01   482.3
1992-04-01   455.4
1992-07-01   475.4
1992-10-01   463.2
1993-01-01   510.3
1993-04-01   453.7
1993-07-01   475.5
1993-10-01   482.5
1994-01-01   546.6
1994-04-01   465.3
1994-07-01   412.2
1994-10-01   475.6
1995-01-01   571.6
1995-04-01   468.6
1995-07-01  3028.3
1995-10-01   470.0
1996-01-01   567.1
1996-04-01   474.5
1996-07-01   427.5
1996-10-01   488.1
1997-01-01   567.1
1997-04-01   495.7
1997-07-01   469.3
1997-10-01   499.5
1998-01-01   664.7
1998-04-01   511.1
1998-07-01   490.7
1998-10-01   545.7
1999-01-01   540.8
1999-04-01   543.9
1999-07-01   536.8
1999-10-01   537.2
2000-01-01   545.8
2000-04-01   547.9
2000-07-01   563.9
2000-10-01   576.7
2001-01-01   572.8
2001-04-01   570.0
2001-07-01   560.4
2001-10-01   564.9
2002-01-01   573.7
2002-04-01   580.5
2002-07-01   578.0
2002-10-01   564.7
2003-01-01   582.7
2003-04-01   578.8
2003-07-01   573.2
2003-10-01   600.0
2004-01-01   582.0
2004-04-01   587.6
2004-07-01   592.6
2004-10-01   589.0
2005-01-01   596.5
2005-04-01   588.6
2005-07-01   602.0
2005-10-01   605.6
2006-01-01   613.8
2006-04-01   626.3
2006-07-01   641.7
2006-10-01   649.4
2007-01-01   661.4
2007-04-01   665.7
2007-07-01   664.9
2007-10-01   687.2
2008-01-01   696.1
2008-04-01   709.7
2008-07-01   725.4
2008-10-01   700.5
2009-01-01   684.2
2009-04-01   685.9
2009-07-01   681.5
2009-10-01   690.4
2010-01-01   687.3
2010-04-01   697.8
2010-07-01   688.0
2010-10-01   687.2
2011-01-01   687.9
2011-04-01   695.4
2011-07-01   701.9
2011-10-01   686.2
2012-01-01   716.0
2012-04-01   707.8
2012-07-01   720.3
2012-10-01   717.4
2013-01-01   725.6
2013-04-01   724.6
2013-07-01   710.3
2013-10-01   714.1
2014-01-01   721.4
2014-04-01   714.7
2014-07-01   740.6
2014-10-01   736.3
2015-01-01   755.3
2015-04-01   759.5
2015-07-01   755.0
2015-10-01   791.4
2016-01-01   754.5
2016-04-01   791.4
2016-07-01   799.0
2016-10-01   824.1
2017-01-01   805.6
2017-04-01   820.6
2017-07-01   816.8
2017-10-01   816.3
2018-01-01   829.6
