Title:               Average Weekly Wages for Employees in Total Covered Establishments in Raleigh-Cary, NC (MSA)
Series ID:           ENUC395840010SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:21 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans). 
                     
                     The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at http://cran.r-project.org/web/packages/x12/x12.pdf. More
                     information on X-12-ARIMA can be found at
                     http://www.census.gov/srd/www/x12a/.

DATE         VALUE
1990-01-01   412.4
1990-04-01   415.0
1990-07-01   418.0
1990-10-01   422.1
1991-01-01   432.1
1991-04-01   442.8
1991-07-01   440.8
1991-10-01   436.3
1992-01-01   448.5
1992-04-01   450.0
1992-07-01   460.0
1992-10-01   470.6
1993-01-01   447.2
1993-04-01   461.0
1993-07-01   472.2
1993-10-01   486.7
1994-01-01   468.6
1994-04-01   476.8
1994-07-01   485.4
1994-10-01   482.5
1995-01-01   493.8
1995-04-01   497.4
1995-07-01   502.3
1995-10-01   501.4
1996-01-01   510.2
1996-04-01   519.1
1996-07-01   517.4
1996-10-01   530.6
1997-01-01   542.8
1997-04-01   539.8
1997-07-01   544.6
1997-10-01   567.6
1998-01-01   560.0
1998-04-01   574.5
1998-07-01   583.5
1998-10-01   606.4
1999-01-01   598.7
1999-04-01   608.1
1999-07-01   625.8
1999-10-01   639.7
2000-01-01   644.5
2000-04-01   656.3
2000-07-01   666.9
2000-10-01   675.1
2001-01-01   692.3
2001-04-01   688.6
2001-07-01   692.1
2001-10-01   693.3
2002-01-01   700.7
2002-04-01   708.5
2002-07-01   706.7
2002-10-01   699.6
2003-01-01   711.3
2003-04-01   713.5
2003-07-01   714.2
2003-10-01   730.3
2004-01-01   725.4
2004-04-01   734.7
2004-07-01   736.2
2004-10-01   760.3
2005-01-01   726.1
2005-04-01   756.0
2005-07-01   782.4
2005-10-01   770.5
2006-01-01   791.1
2006-04-01   781.4
2006-07-01   788.0
2006-10-01   807.2
2007-01-01   822.7
2007-04-01   817.9
2007-07-01   820.8
2007-10-01   828.7
2008-01-01   837.6
2008-04-01   845.4
2008-07-01   844.5
2008-10-01   849.7
2009-01-01   838.6
2009-04-01   837.3
2009-07-01   845.3
2009-10-01   864.8
2010-01-01   852.4
2010-04-01   873.1
2010-07-01   869.4
2010-10-01   893.9
2011-01-01   864.3
2011-04-01   894.3
2011-07-01   898.2
2011-10-01   882.4
2012-01-01   899.4
2012-04-01   889.7
2012-07-01   898.8
2012-10-01   909.2
2013-01-01   923.6
2013-04-01   934.2
2013-07-01   932.8
2013-10-01   931.4
2014-01-01   945.5
2014-04-01   939.6
2014-07-01   950.4
2014-10-01   954.7
2015-01-01   968.8
2015-04-01   972.4
2015-07-01   981.2
2015-10-01  1012.8
2016-01-01   981.5
2016-04-01   998.1
2016-07-01  1045.6
2016-10-01  1027.7
2017-01-01  1033.7
2017-04-01  1051.1
2017-07-01  1040.7
2017-10-01  1057.3
2018-01-01  1076.6
