Title:               Average Weekly Wages for Employees in Federal Government Establishments in Fayetteville, NC (MSA)
Series ID:           ENUC221840110SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:24 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans). 
                     
                     The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at http://cran.r-project.org/web/packages/x12/x12.pdf. More
                     information on X-12-ARIMA can be found at
                     http://www.census.gov/srd/www/x12a/.

DATE         VALUE
1990-01-01   518.2
1990-04-01   500.3
1990-07-01   471.1
1990-10-01   488.3
1991-01-01   466.3
1991-04-01   478.5
1991-07-01   484.8
1991-10-01   507.1
1992-01-01   543.6
1992-04-01   527.0
1992-07-01   548.6
1992-10-01   559.0
1993-01-01   544.6
1993-04-01   531.4
1993-07-01   510.2
1993-10-01   406.5
1994-01-01   417.1
1994-04-01   467.8
1994-07-01   464.5
1994-10-01   452.3
1995-01-01   456.1
1995-04-01   455.3
1995-07-01   493.4
1995-10-01   500.7
1996-01-01   544.0
1996-04-01   566.7
1996-07-01   559.7
1996-10-01   593.5
1997-01-01   591.0
1997-04-01   573.4
1997-07-01   602.7
1997-10-01   597.1
1998-01-01   605.2
1998-04-01   607.3
1998-07-01   618.2
1998-10-01   761.7
1999-01-01   582.4
1999-04-01   622.0
1999-07-01   607.4
1999-10-01   613.2
2000-01-01   644.9
2000-04-01   634.9
2000-07-01   696.3
2000-10-01   642.1
2001-01-01   656.4
2001-04-01   691.2
2001-07-01   624.4
2001-10-01   710.9
2002-01-01   718.2
2002-04-01   749.0
2002-07-01   728.8
2002-10-01   773.2
2003-01-01   752.1
2003-04-01   787.0
2003-07-01   768.0
2003-10-01   816.8
2004-01-01   807.1
2004-04-01   855.8
2004-07-01   891.9
2004-10-01   841.5
2005-01-01   875.6
2005-04-01   855.2
2005-07-01   901.0
2005-10-01   890.1
2006-01-01   934.1
2006-04-01   915.6
2006-07-01   970.7
2006-10-01   948.0
2007-01-01  1020.0
2007-04-01   994.6
2007-07-01  1097.0
2007-10-01   988.5
2008-01-01  1081.7
2008-04-01  1097.6
2008-07-01   951.2
2008-10-01  1096.7
2009-01-01  1060.5
2009-04-01  1098.8
2009-07-01  1129.4
2009-10-01  1156.7
2010-01-01  1091.6
2010-04-01  1073.3
2010-07-01  1146.7
2010-10-01  1168.2
2011-01-01  1117.9
2011-04-01  1255.3
2011-07-01  1211.9
2011-10-01  1283.7
2012-01-01  1206.5
2012-04-01  1203.7
2012-07-01  1196.6
2012-10-01  1189.4
2013-01-01  1219.8
2013-04-01  1220.1
2013-07-01  1132.4
2013-10-01  1212.9
2014-01-01  1222.7
2014-04-01  1262.2
2014-07-01  1255.0
2014-10-01  1249.3
2015-01-01  1235.3
2015-04-01  1271.2
2015-07-01  1249.9
2015-10-01  1302.3
2016-01-01  1333.8
2016-04-01  1168.3
2016-07-01  1417.6
2016-10-01  1267.2
2017-01-01  1380.0
2017-04-01  1300.9
2017-07-01  1414.6
2017-10-01  1327.0
2018-01-01  1276.1
