Title:               Average Weekly Wages for Employees in Local Government Establishments in Burlington, NC (MSA)
Series ID:           ENUC155040310SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:24 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans). 
                     
                     The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at http://cran.r-project.org/web/packages/x12/x12.pdf. More
                     information on X-12-ARIMA can be found at
                     http://www.census.gov/srd/www/x12a/.

DATE        VALUE
1990-01-01  366.4
1990-04-01  359.1
1990-07-01  352.4
1990-10-01  383.9
1991-01-01  383.2
1991-04-01  387.8
1991-07-01  371.0
1991-10-01  405.6
1992-01-01  385.1
1992-04-01  388.0
1992-07-01  394.1
1992-10-01  388.6
1993-01-01  398.6
1993-04-01  410.9
1993-07-01  405.8
1993-10-01  410.9
1994-01-01  413.4
1994-04-01  408.5
1994-07-01  408.1
1994-10-01  417.5
1995-01-01  427.0
1995-04-01  432.8
1995-07-01  397.9
1995-10-01  421.6
1996-01-01  428.2
1996-04-01  419.4
1996-07-01  447.2
1996-10-01  425.2
1997-01-01  447.0
1997-04-01  457.1
1997-07-01  466.5
1997-10-01  460.7
1998-01-01  459.9
1998-04-01  472.1
1998-07-01  500.6
1998-10-01  480.3
1999-01-01  483.2
1999-04-01  490.1
1999-07-01  495.2
1999-10-01  514.1
2000-01-01  509.3
2000-04-01  511.0
2000-07-01  540.7
2000-10-01  546.0
2001-01-01  542.7
2001-04-01  562.1
2001-07-01  534.3
2001-10-01  560.6
2002-01-01  561.9
2002-04-01  638.5
2002-07-01  597.6
2002-10-01  566.5
2003-01-01  568.7
2003-04-01  562.1
2003-07-01  547.0
2003-10-01  590.4
2004-01-01  564.7
2004-04-01  561.8
2004-07-01  574.5
2004-10-01  571.7
2005-01-01  583.8
2005-04-01  583.8
2005-07-01  601.3
2005-10-01  583.2
2006-01-01  606.3
2006-04-01  607.6
2006-07-01  625.7
2006-10-01  635.3
2007-01-01  648.9
2007-04-01  647.1
2007-07-01  666.1
2007-10-01  659.5
2008-01-01  667.8
2008-04-01  659.4
2008-07-01  687.2
2008-10-01  679.3
2009-01-01  670.9
2009-04-01  670.0
2009-07-01  662.8
2009-10-01  675.2
2010-01-01  669.5
2010-04-01  665.2
2010-07-01  663.6
2010-10-01  667.0
2011-01-01  666.4
2011-04-01  670.3
2011-07-01  656.8
2011-10-01  659.3
2012-01-01  666.2
2012-04-01  663.8
2012-07-01  670.6
2012-10-01  669.9
2013-01-01  664.4
2013-04-01  674.3
2013-07-01  662.9
2013-10-01  662.1
2014-01-01  663.2
2014-04-01  677.2
2014-07-01  679.1
2014-10-01  698.3
2015-01-01  690.2
2015-04-01  710.9
2015-07-01  707.0
2015-10-01  739.8
2016-01-01  726.1
2016-04-01  715.5
2016-07-01  741.8
2016-10-01  721.8
2017-01-01  753.2
2017-04-01  747.2
2017-07-01  758.3
2017-10-01  739.6
2018-01-01  765.3
