Title:               Average Weekly Wages for Employees in Private Establishments in Fayetteville, NC (MSA)
Series ID:           ENUC221840510SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:24 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans). 
                     
                     The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at http://cran.r-project.org/web/packages/x12/x12.pdf. More
                     information on X-12-ARIMA can be found at
                     http://www.census.gov/srd/www/x12a/.

DATE        VALUE
1990-01-01  321.9
1990-04-01  322.1
1990-07-01  322.2
1990-10-01  323.6
1991-01-01  330.2
1991-04-01  342.8
1991-07-01  341.4
1991-10-01  332.0
1992-01-01  354.6
1992-04-01  352.7
1992-07-01  359.4
1992-10-01  367.7
1993-01-01  351.7
1993-04-01  363.0
1993-07-01  368.1
1993-10-01  378.2
1994-01-01  375.4
1994-04-01  379.3
1994-07-01  388.2
1994-10-01  388.8
1995-01-01  396.1
1995-04-01  391.2
1995-07-01  392.0
1995-10-01  388.4
1996-01-01  396.6
1996-04-01  400.4
1996-07-01  401.9
1996-10-01  409.9
1997-01-01  415.9
1997-04-01  415.2
1997-07-01  420.0
1997-10-01  429.6
1998-01-01  427.0
1998-04-01  433.0
1998-07-01  430.7
1998-10-01  447.7
1999-01-01  424.9
1999-04-01  447.8
1999-07-01  459.3
1999-10-01  460.8
2000-01-01  460.0
2000-04-01  464.0
2000-07-01  460.3
2000-10-01  464.1
2001-01-01  474.1
2001-04-01  470.7
2001-07-01  477.8
2001-10-01  480.3
2002-01-01  496.6
2002-04-01  497.0
2002-07-01  498.4
2002-10-01  495.2
2003-01-01  499.9
2003-04-01  503.7
2003-07-01  503.3
2003-10-01  511.1
2004-01-01  497.6
2004-04-01  510.3
2004-07-01  517.9
2004-10-01  532.6
2005-01-01  509.2
2005-04-01  527.8
2005-07-01  546.6
2005-10-01  543.0
2006-01-01  549.3
2006-04-01  539.3
2006-07-01  534.1
2006-10-01  541.1
2007-01-01  571.9
2007-04-01  573.3
2007-07-01  576.0
2007-10-01  580.5
2008-01-01  594.7
2008-04-01  595.5
2008-07-01  585.9
2008-10-01  599.3
2009-01-01  595.7
2009-04-01  605.8
2009-07-01  607.6
2009-10-01  630.5
2010-01-01  603.2
2010-04-01  629.0
2010-07-01  644.5
2010-10-01  641.1
2011-01-01  627.1
2011-04-01  634.9
2011-07-01  661.5
2011-10-01  626.4
2012-01-01  642.9
2012-04-01  638.5
2012-07-01  637.3
2012-10-01  643.6
2013-01-01  679.1
2013-04-01  662.9
2013-07-01  662.9
2013-10-01  659.2
2014-01-01  639.1
2014-04-01  644.7
2014-07-01  639.8
2014-10-01  646.5
2015-01-01  642.3
2015-04-01  656.1
2015-07-01  659.8
2015-10-01  668.6
2016-01-01  652.0
2016-04-01  660.8
2016-07-01  686.5
2016-10-01  656.1
2017-01-01  686.6
2017-04-01  684.0
2017-07-01  684.6
2017-10-01  683.3
2018-01-01  710.5
