Title:               Average Weekly Wages for Employees in Private Establishments in Jacksonville, NC (MSA)
Series ID:           ENUC273440510SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:21 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans). 
                     
                     The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at http://cran.r-project.org/web/packages/x12/x12.pdf. More
                     information on X-12-ARIMA can be found at
                     http://www.census.gov/srd/www/x12a/.

DATE        VALUE
1990-01-01  244.9
1990-04-01  245.2
1990-07-01  246.0
1990-10-01  248.6
1991-01-01  245.1
1991-04-01  251.4
1991-07-01  249.7
1991-10-01  250.6
1992-01-01  266.9
1992-04-01  260.8
1992-07-01  264.3
1992-10-01  268.0
1993-01-01  258.0
1993-04-01  271.7
1993-07-01  275.1
1993-10-01  276.5
1994-01-01  274.1
1994-04-01  276.2
1994-07-01  287.4
1994-10-01  274.3
1995-01-01  290.0
1995-04-01  290.1
1995-07-01  291.1
1995-10-01  291.5
1996-01-01  298.0
1996-04-01  298.7
1996-07-01  302.9
1996-10-01  309.8
1997-01-01  310.8
1997-04-01  314.5
1997-07-01  313.8
1997-10-01  328.9
1998-01-01  323.9
1998-04-01  330.8
1998-07-01  336.8
1998-10-01  342.9
1999-01-01  334.9
1999-04-01  335.5
1999-07-01  350.3
1999-10-01  350.2
2000-01-01  357.8
2000-04-01  354.4
2000-07-01  349.4
2000-10-01  353.3
2001-01-01  353.8
2001-04-01  358.1
2001-07-01  357.6
2001-10-01  361.0
2002-01-01  369.3
2002-04-01  374.3
2002-07-01  373.4
2002-10-01  369.8
2003-01-01  375.4
2003-04-01  379.9
2003-07-01  378.6
2003-10-01  393.1
2004-01-01  387.3
2004-04-01  392.3
2004-07-01  401.8
2004-10-01  417.3
2005-01-01  391.8
2005-04-01  415.3
2005-07-01  427.2
2005-10-01  418.7
2006-01-01  431.3
2006-04-01  431.7
2006-07-01  431.2
2006-10-01  432.2
2007-01-01  450.1
2007-04-01  443.3
2007-07-01  447.8
2007-10-01  451.0
2008-01-01  461.5
2008-04-01  456.0
2008-07-01  460.6
2008-10-01  461.9
2009-01-01  463.5
2009-04-01  474.4
2009-07-01  475.0
2009-10-01  499.0
2010-01-01  478.4
2010-04-01  499.6
2010-07-01  507.3
2010-10-01  514.9
2011-01-01  497.2
2011-04-01  508.3
2011-07-01  527.8
2011-10-01  503.0
2012-01-01  524.5
2012-04-01  515.2
2012-07-01  505.8
2012-10-01  510.5
2013-01-01  528.2
2013-04-01  525.7
2013-07-01  526.2
2013-10-01  524.6
2014-01-01  523.5
2014-04-01  525.7
2014-07-01  518.9
2014-10-01  528.1
2015-01-01  518.6
2015-04-01  530.5
2015-07-01  529.5
2015-10-01  545.7
2016-01-01  528.0
2016-04-01  542.7
2016-07-01  560.8
2016-10-01  546.7
2017-01-01  564.5
2017-04-01  556.1
2017-07-01  558.9
2017-10-01  558.4
2018-01-01  576.2
