Title:               Average Weekly Wages for Employees in Federal Government Establishments in Burlington, NC (MSA)
Series ID:           ENUC155040110SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:24 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans). 
                     
                     The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at http://cran.r-project.org/web/packages/x12/x12.pdf. More
                     information on X-12-ARIMA can be found at
                     http://www.census.gov/srd/www/x12a/.

DATE         VALUE
1990-01-01   590.1
1990-04-01   513.3
1990-07-01   580.7
1990-10-01   583.3
1991-01-01   630.1
1991-04-01   670.4
1991-07-01   655.4
1991-10-01   587.5
1992-01-01   714.3
1992-04-01   716.1
1992-07-01   702.6
1992-10-01   730.1
1993-01-01   679.1
1993-04-01   680.1
1993-07-01   696.1
1993-10-01   662.2
1994-01-01   667.3
1994-04-01   668.3
1994-07-01   742.7
1994-10-01   699.4
1995-01-01   692.3
1995-04-01   680.5
1995-07-01   688.5
1995-10-01   735.2
1996-01-01   737.6
1996-04-01   735.3
1996-07-01   684.1
1996-10-01   692.9
1997-01-01   699.0
1997-04-01   725.3
1997-07-01   733.7
1997-10-01   727.3
1998-01-01   709.5
1998-04-01   739.1
1998-07-01   721.0
1998-10-01   728.9
1999-01-01   696.6
1999-04-01   790.3
1999-07-01   744.2
1999-10-01   776.8
2000-01-01   740.7
2000-04-01   630.8
2000-07-01   663.5
2000-10-01   730.5
2001-01-01   807.4
2001-04-01   811.4
2001-07-01   837.3
2001-10-01   774.3
2002-01-01   842.7
2002-04-01   853.5
2002-07-01   871.4
2002-10-01   851.6
2003-01-01   865.6
2003-04-01   860.5
2003-07-01   862.0
2003-10-01   831.7
2004-01-01   901.8
2004-04-01   863.8
2004-07-01   949.2
2004-10-01   961.2
2005-01-01   843.4
2005-04-01   959.1
2005-07-01   853.6
2005-10-01   863.9
2006-01-01   897.0
2006-04-01   853.4
2006-07-01  1042.1
2006-10-01   872.8
2007-01-01   930.7
2007-04-01   974.0
2007-07-01   941.7
2007-10-01   980.9
2008-01-01   900.1
2008-04-01   932.5
2008-07-01   904.5
2008-10-01   947.6
2009-01-01   906.9
2009-04-01   950.0
2009-07-01   939.0
2009-10-01   974.5
2010-01-01   926.4
2010-04-01   866.1
2010-07-01   902.7
2010-10-01  1095.6
2011-01-01   934.6
2011-04-01  1142.5
2011-07-01  1090.7
2011-10-01  1013.9
2012-01-01  1042.6
2012-04-01   994.7
2012-07-01  1058.1
2012-10-01  1029.8
2013-01-01  1045.1
2013-04-01  1037.1
2013-07-01  1033.5
2013-10-01  1017.8
2014-01-01  1082.4
2014-04-01  1079.7
2014-07-01  1073.4
2014-10-01  1000.8
2015-01-01  1117.9
2015-04-01  1045.0
2015-07-01  1104.8
2015-10-01  1088.5
2016-01-01   974.4
2016-04-01   986.1
2016-07-01  1076.0
2016-10-01  1085.7
2017-01-01  1032.5
2017-04-01  1123.7
2017-07-01   961.5
2017-10-01  1025.3
2018-01-01  1039.4
