Title:               Average Weekly Wages for Employees in Federal Government Establishments in Hickory-Lenoir-Morganton, NC (MSA)
Series ID:           ENUC258640110SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:23 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans). 
                     
                     The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at http://cran.r-project.org/web/packages/x12/x12.pdf. More
                     information on X-12-ARIMA can be found at
                     http://www.census.gov/srd/www/x12a/.

DATE         VALUE
1990-01-01   497.5
1990-04-01   440.1
1990-07-01   541.1
1990-10-01   564.8
1991-01-01   599.9
1991-04-01   645.3
1991-07-01   623.7
1991-10-01   570.7
1992-01-01   692.8
1992-04-01   670.3
1992-07-01   665.2
1992-10-01   722.5
1993-01-01   701.1
1993-04-01   702.5
1993-07-01   724.8
1993-10-01   681.7
1994-01-01   665.2
1994-04-01   675.5
1994-07-01   711.0
1994-10-01   672.0
1995-01-01   670.5
1995-04-01   639.5
1995-07-01   635.9
1995-10-01   700.2
1996-01-01   684.4
1996-04-01   713.0
1996-07-01   671.4
1996-10-01   705.8
1997-01-01   690.5
1997-04-01   693.7
1997-07-01   689.2
1997-10-01   675.9
1998-01-01   704.5
1998-04-01   732.7
1998-07-01   722.5
1998-10-01   723.8
1999-01-01   688.0
1999-04-01   753.6
1999-07-01   710.2
1999-10-01   737.0
2000-01-01   697.8
2000-04-01   590.9
2000-07-01   630.5
2000-10-01   709.7
2001-01-01   776.3
2001-04-01   769.4
2001-07-01   809.2
2001-10-01   752.6
2002-01-01   790.3
2002-04-01   843.0
2002-07-01   832.9
2002-10-01   825.8
2003-01-01   840.0
2003-04-01   824.9
2003-07-01   852.8
2003-10-01   816.2
2004-01-01   901.0
2004-04-01   824.0
2004-07-01   910.3
2004-10-01   935.3
2005-01-01   851.8
2005-04-01   955.6
2005-07-01   850.8
2005-10-01   858.1
2006-01-01   885.0
2006-04-01   846.1
2006-07-01  1041.1
2006-10-01   884.0
2007-01-01   937.9
2007-04-01   985.9
2007-07-01   934.6
2007-10-01   980.5
2008-01-01   924.9
2008-04-01   979.1
2008-07-01   940.7
2008-10-01   966.7
2009-01-01   925.4
2009-04-01   950.1
2009-07-01   967.7
2009-10-01  1007.0
2010-01-01   935.5
2010-04-01   843.1
2010-07-01   902.6
2010-10-01  1086.1
2011-01-01   946.4
2011-04-01  1170.0
2011-07-01  1116.6
2011-10-01  1033.0
2012-01-01  1075.7
2012-04-01  1033.4
2012-07-01  1052.0
2012-10-01  1048.7
2013-01-01  1055.9
2013-04-01  1065.6
2013-07-01  1083.5
2013-10-01  1046.7
2014-01-01  1109.5
2014-04-01  1092.8
2014-07-01  1110.5
2014-10-01  1029.3
2015-01-01  1194.5
2015-04-01  1098.8
2015-07-01  1111.1
2015-10-01  1102.8
2016-01-01  1028.0
2016-04-01  1028.1
2016-07-01  1113.9
2016-10-01  1110.3
2017-01-01  1068.8
2017-04-01  1116.3
2017-07-01  1026.1
2017-10-01  1089.3
2018-01-01  1088.8
