Title:               Average Weekly Wages for Employees in Federal Government Establishments in Winston-Salem, NC (MSA)
Series ID:           ENUC491840110SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:22 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans). 
                     
                     The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at http://cran.r-project.org/web/packages/x12/x12.pdf. More
                     information on X-12-ARIMA can be found at
                     http://www.census.gov/srd/www/x12a/.

DATE         VALUE
1990-01-01   542.6
1990-04-01   454.3
1990-07-01   577.4
1990-10-01   589.1
1991-01-01   618.3
1991-04-01   629.0
1991-07-01   623.7
1991-10-01   606.0
1992-01-01   666.2
1992-04-01   651.9
1992-07-01   657.1
1992-10-01   697.6
1993-01-01   688.4
1993-04-01   713.2
1993-07-01   709.7
1993-10-01   708.0
1994-01-01   693.9
1994-04-01   698.1
1994-07-01   730.3
1994-10-01   721.4
1995-01-01   736.7
1995-04-01   710.1
1995-07-01  1031.6
1995-10-01   758.7
1996-01-01   783.1
1996-04-01   756.8
1996-07-01   730.7
1996-10-01   739.0
1997-01-01   772.4
1997-04-01   751.4
1997-07-01   754.6
1997-10-01   782.2
1998-01-01   728.0
1998-04-01   772.5
1998-07-01   758.1
1998-10-01   756.6
1999-01-01   744.3
1999-04-01   794.0
1999-07-01   776.0
1999-10-01   785.7
2000-01-01   777.6
2000-04-01   690.3
2000-07-01   711.5
2000-10-01   776.5
2001-01-01   839.5
2001-04-01   862.3
2001-07-01   841.5
2001-10-01   829.1
2002-01-01   862.0
2002-04-01   899.3
2002-07-01   910.7
2002-10-01   871.2
2003-01-01   884.2
2003-04-01   877.4
2003-07-01   921.0
2003-10-01   928.2
2004-01-01   950.1
2004-04-01   913.1
2004-07-01   918.0
2004-10-01   960.0
2005-01-01   898.4
2005-04-01  1046.4
2005-07-01   922.5
2005-10-01   881.8
2006-01-01   906.7
2006-04-01   926.5
2006-07-01  1011.7
2006-10-01   975.5
2007-01-01   999.9
2007-04-01  1046.9
2007-07-01   981.2
2007-10-01  1040.8
2008-01-01  1001.0
2008-04-01   998.0
2008-07-01  1075.3
2008-10-01  1009.4
2009-01-01   993.7
2009-04-01  1047.4
2009-07-01   989.0
2009-10-01  1066.8
2010-01-01   968.3
2010-04-01   940.2
2010-07-01  1013.4
2010-10-01  1287.3
2011-01-01  1089.5
2011-04-01  1303.6
2011-07-01  1229.5
2011-10-01  1149.1
2012-01-01  1237.5
2012-04-01  1183.6
2012-07-01  1231.5
2012-10-01  1220.0
2013-01-01  1192.3
2013-04-01  1184.9
2013-07-01  1213.1
2013-10-01  1209.6
2014-01-01  1274.6
2014-04-01  1263.7
2014-07-01  1244.3
2014-10-01  1216.7
2015-01-01  1339.5
2015-04-01  1278.4
2015-07-01  1307.0
2015-10-01  1268.1
2016-01-01  1201.3
2016-04-01  1226.6
2016-07-01  1297.7
2016-10-01  1312.0
2017-01-01  1236.9
2017-04-01  1342.4
2017-07-01  1151.6
2017-10-01  1295.6
2018-01-01  1264.9
