Title:               Average Weekly Wages for Employees in Local Government Establishments in Greensboro-High Point, NC (MSA)
Series ID:           ENUC246640310SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:24 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans). 
                     
                     The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at http://cran.r-project.org/web/packages/x12/x12.pdf. More
                     information on X-12-ARIMA can be found at
                     http://www.census.gov/srd/www/x12a/.

DATE        VALUE
1990-01-01  371.4
1990-04-01  366.9
1990-07-01  373.2
1990-10-01  388.3
1991-01-01  388.7
1991-04-01  396.4
1991-07-01  390.6
1991-10-01  394.0
1992-01-01  394.1
1992-04-01  393.5
1992-07-01  394.2
1992-10-01  391.1
1993-01-01  412.6
1993-04-01  423.5
1993-07-01  398.6
1993-10-01  426.9
1994-01-01  428.3
1994-04-01  432.0
1994-07-01  465.5
1994-10-01  440.3
1995-01-01  451.8
1995-04-01  466.6
1995-07-01  473.1
1995-10-01  466.4
1996-01-01  466.4
1996-04-01  471.3
1996-07-01  477.5
1996-10-01  485.5
1997-01-01  485.6
1997-04-01  484.3
1997-07-01  492.8
1997-10-01  491.0
1998-01-01  488.4
1998-04-01  498.9
1998-07-01  488.6
1998-10-01  483.1
1999-01-01  471.1
1999-04-01  464.0
1999-07-01  508.0
1999-10-01  467.1
2000-01-01  538.0
2000-04-01  548.7
2000-07-01  565.5
2000-10-01  559.4
2001-01-01  575.4
2001-04-01  584.8
2001-07-01  574.6
2001-10-01  600.0
2002-01-01  599.3
2002-04-01  602.6
2002-07-01  607.4
2002-10-01  605.5
2003-01-01  620.7
2003-04-01  624.8
2003-07-01  627.9
2003-10-01  635.4
2004-01-01  637.9
2004-04-01  639.7
2004-07-01  639.6
2004-10-01  643.5
2005-01-01  641.9
2005-04-01  658.0
2005-07-01  704.8
2005-10-01  650.4
2006-01-01  663.1
2006-04-01  676.4
2006-07-01  683.4
2006-10-01  691.3
2007-01-01  703.5
2007-04-01  715.8
2007-07-01  714.7
2007-10-01  728.8
2008-01-01  729.8
2008-04-01  722.6
2008-07-01  756.9
2008-10-01  750.6
2009-01-01  756.9
2009-04-01  745.7
2009-07-01  728.2
2009-10-01  745.4
2010-01-01  728.3
2010-04-01  737.1
2010-07-01  731.5
2010-10-01  749.4
2011-01-01  736.1
2011-04-01  736.1
2011-07-01  743.1
2011-10-01  730.8
2012-01-01  749.1
2012-04-01  733.0
2012-07-01  737.3
2012-10-01  733.6
2013-01-01  734.6
2013-04-01  739.6
2013-07-01  730.0
2013-10-01  721.1
2014-01-01  727.0
2014-04-01  732.3
2014-07-01  749.7
2014-10-01  743.2
2015-01-01  752.6
2015-04-01  752.1
2015-07-01  749.7
2015-10-01  797.8
2016-01-01  741.9
2016-04-01  765.6
2016-07-01  782.7
2016-10-01  774.3
2017-01-01  776.1
2017-04-01  792.3
2017-07-01  775.4
2017-10-01  801.6
2018-01-01  799.3
