Title:               Real Gross Domestic Product by Industry: Private Industries: Nondurable Goods Manufacturing for North Carolina
Series ID:           NCNDURMANRQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Millions of Chained 2012 Dollars
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:15 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE          VALUE
2005-01-01  58109.0
2005-04-01  58444.9
2005-07-01  59691.5
2005-10-01  60417.9
2006-01-01  62205.7
2006-04-01  63404.8
2006-07-01  63809.2
2006-10-01  66300.6
2007-01-01  65334.1
2007-04-01  65576.4
2007-07-01  65193.1
2007-10-01  67575.2
2008-01-01  62211.5
2008-04-01  63589.4
2008-07-01  60473.3
2008-10-01  56704.4
2009-01-01  58094.0
2009-04-01  61138.1
2009-07-01  61903.6
2009-10-01  63050.8
2010-01-01  60029.8
2010-04-01  55643.6
2010-07-01  55053.4
2010-10-01  56567.0
2011-01-01  58085.6
2011-04-01  62503.8
2011-07-01  59046.9
2011-10-01  57830.2
2012-01-01  54301.0
2012-04-01  51031.2
2012-07-01  49140.3
2012-10-01  48536.8
2013-01-01  52516.2
2013-04-01  53195.8
2013-07-01  54153.0
2013-10-01  52012.2
2014-01-01  51298.8
2014-04-01  50031.3
2014-07-01  48217.6
2014-10-01  48440.1
2015-01-01  51214.7
2015-04-01  52185.3
2015-07-01  50378.3
2015-10-01  47994.7
2016-01-01  49391.7
2016-04-01  48370.2
2016-07-01  47153.0
2016-10-01  46762.0
2017-01-01  49560.3
2017-04-01  50133.8
2017-07-01  50091.2
2017-10-01  51170.7
2018-01-01  51229.6
2018-04-01  50712.0
