Title:               Gross Domestic Product by Industry: Private Industries: Nondurable Goods Manufacturing for North Carolina
Series ID:           NCNDURMANNQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Millions of Dollars
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:15 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE          VALUE
2005-01-01  44218.6
2005-04-01  43597.9
2005-07-01  45520.8
2005-10-01  46158.1
2006-01-01  46914.9
2006-04-01  49041.8
2006-07-01  49406.0
2006-10-01  49360.4
2007-01-01  49111.1
2007-04-01  50843.5
2007-07-01  49703.0
2007-10-01  50732.4
2008-01-01  47970.4
2008-04-01  49093.5
2008-07-01  51051.0
2008-10-01  49610.4
2009-01-01  53459.8
2009-04-01  55994.6
2009-07-01  57608.1
2009-10-01  57601.1
2010-01-01  54172.4
2010-04-01  50875.6
2010-07-01  50466.0
2010-10-01  52446.6
2011-01-01  53738.3
2011-04-01  58532.1
2011-07-01  56365.0
2011-10-01  55105.9
2012-01-01  51924.4
2012-04-01  50118.4
2012-07-01  50581.1
2012-10-01  50385.4
2013-01-01  53745.5
2013-04-01  53224.4
2013-07-01  54231.7
2013-10-01  54633.7
2014-01-01  52313.2
2014-04-01  51732.6
2014-07-01  51856.0
2014-10-01  52599.5
2015-01-01  54587.3
2015-04-01  57382.0
2015-07-01  57297.3
2015-10-01  54732.6
2016-01-01  55252.5
2016-04-01  55480.2
2016-07-01  54656.5
2016-10-01  54463.8
2017-01-01  56378.6
2017-04-01  56959.1
2017-07-01  58444.4
2017-10-01  60379.2
2018-01-01  59542.5
2018-04-01  61378.2
