Title:               Total Gross Domestic Product by Industry for North Carolina
Series ID:           NCNQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Millions of Dollars
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:09 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE           VALUE
2005-01-01  346983.7
2005-04-01  348062.4
2005-07-01  354433.0
2005-10-01  360099.0
2006-01-01  376683.4
2006-04-01  382757.4
2006-07-01  384917.5
2006-10-01  389730.8
2007-01-01  394801.5
2007-04-01  394988.3
2007-07-01  395484.0
2007-10-01  400116.6
2008-01-01  409906.5
2008-04-01  413600.7
2008-07-01  417042.4
2008-10-01  412903.8
2009-01-01  398260.8
2009-04-01  402586.2
2009-07-01  409150.9
2009-10-01  415911.6
2010-01-01  409079.0
2010-04-01  413121.3
2010-07-01  415531.3
2010-10-01  423094.0
2011-01-01  422157.5
2011-04-01  429589.9
2011-07-01  427850.9
2011-10-01  429224.1
2012-01-01  437978.9
2012-04-01  436556.2
2012-07-01  442104.3
2012-10-01  441644.4
2013-01-01  448568.0
2013-04-01  450519.5
2013-07-01  458224.7
2013-10-01  464774.2
2014-01-01  465801.3
2014-04-01  470839.8
2014-07-01  479884.1
2014-10-01  484383.5
2015-01-01  496000.7
2015-04-01  503851.0
2015-07-01  506987.7
2015-10-01  507029.7
2016-01-01  511096.6
2016-04-01  515226.9
2016-07-01  519571.7
2016-10-01  527640.9
2017-01-01  532053.6
2017-04-01  537255.7
2017-07-01  542444.3
2017-10-01  550232.7
2018-01-01  554937.2
2018-04-01  565300.0
