Title:               Quantity Indexes for Real Gross Domestic Product by Industry: Private Industries: Nondurable Goods Manufacturing for North Carolina
Series ID:           NCNDURMANQQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Index 2012=100
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:09 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE          VALUE
2005-01-01  114.495
2005-04-01  115.157
2005-07-01  117.613
2005-10-01  119.045
2006-01-01  122.567
2006-04-01  124.930
2006-07-01  125.727
2006-10-01  130.636
2007-01-01  128.731
2007-04-01  129.209
2007-07-01  128.454
2007-10-01  133.147
2008-01-01  122.579
2008-04-01  125.294
2008-07-01  119.154
2008-10-01  111.728
2009-01-01  114.466
2009-04-01  120.464
2009-07-01  121.972
2009-10-01  124.232
2010-01-01  118.280
2010-04-01  109.638
2010-07-01  108.475
2010-10-01  111.457
2011-01-01  114.449
2011-04-01  123.155
2011-07-01  116.343
2011-10-01  113.946
2012-01-01  106.992
2012-04-01  100.549
2012-07-01   96.824
2012-10-01   95.635
2013-01-01  103.475
2013-04-01  104.814
2013-07-01  106.700
2013-10-01  102.482
2014-01-01  101.077
2014-04-01   98.579
2014-07-01   95.006
2014-10-01   95.444
2015-01-01  100.911
2015-04-01  102.824
2015-07-01   99.263
2015-10-01   94.566
2016-01-01   97.319
2016-04-01   95.306
2016-07-01   92.908
2016-10-01   92.138
2017-01-01   97.651
2017-04-01   98.781
2017-07-01   98.697
2017-10-01  100.824
2018-01-01  100.940
2018-04-01   99.921
