Title:               Loan Loss Reserve to Total Loans for Banks in North Carolina
Series ID:           NCLLRTL
Source:              Federal Financial Institutions Examination Council (US)
Release:             Reports of Condition and Income for All Insured U.S. Commercial Banks
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly, End of Period
Units:               Percent
Date Range:          1984-01-01 to 2018-07-01
Last Updated:        2018-12-13 11:02 AM CST
Notes:               This series is constructed as a sum of Allowance for Loan and Lease
                     Losses call item RCFD3123 and Allocated Transfer Risk Reserves call
                     item RCFD3128 to the Total Loans and Leases, Net of Unearned Income
                     call item RCFD2122.
                     Geographic location is determined by Abbreviated State Name call item
                     RSSD9200 = 'NC' representing two character state abbreviation of North
                     Carolina.
                     For more information and definition about the specific call item
                     codes, please see
                     http://www.federalreserve.gov/apps/mdrm/data-dictionary.
                     This series is calculated by the Federal Reserve Bank of St. Louis
                     using raw data that are collected by the FFIEC. Raw data can be found
                     at https://cdr.ffiec.gov/public/.

DATE       VALUE
1984-01-01  1.26
1984-04-01  1.25
1984-07-01  1.26
1984-10-01  1.26
1985-01-01  1.28
1985-04-01  1.49
1985-07-01  1.49
1985-10-01  1.48
1986-01-01  1.53
1986-04-01  1.51
1986-07-01  1.51
1986-10-01  1.44
1987-01-01  1.47
1987-04-01  1.58
1987-07-01  1.56
1987-10-01  1.46
1988-01-01  1.26
1988-04-01  1.22
1988-07-01  1.21
1988-10-01  1.19
1989-01-01  1.19
1989-04-01  1.16
1989-07-01  1.16
1989-10-01  1.15
1990-01-01  1.16
1990-04-01  1.21
1990-07-01  1.36
1990-10-01  1.46
1991-01-01  1.57
1991-04-01  1.66
1991-07-01  1.72
1991-10-01  1.73
1992-01-01  1.68
1992-04-01  1.76
1992-07-01  1.71
1992-10-01  1.55
1993-01-01  1.56
1993-04-01  1.52
1993-07-01  1.55
1993-10-01  1.49
1994-01-01  1.50
1994-04-01  1.44
1994-07-01  1.39
1994-10-01  1.36
1995-01-01  1.33
1995-04-01  1.28
1995-07-01  1.69
1995-10-01  1.59
1996-01-01  1.52
1996-04-01  1.54
1996-07-01  1.53
1996-10-01  1.40
1997-01-01  1.34
1997-04-01  1.48
1997-07-01  1.54
1997-10-01  1.45
1998-01-01  1.35
1998-04-01  1.37
1998-07-01  1.37
1998-10-01  1.36
1999-01-01  1.36
1999-04-01  1.41
1999-07-01  1.62
1999-10-01  1.57
2000-01-01  1.56
2000-04-01  1.57
2000-07-01  1.56
2000-10-01  1.57
2001-01-01  1.60
2001-04-01  1.61
2001-07-01  1.71
2001-10-01  1.79
2002-01-01  1.79
2002-04-01  1.74
2002-07-01  1.70
2002-10-01  1.65
2003-01-01  1.64
2003-04-01  1.55
2003-07-01  1.48
2003-10-01  1.34
2004-01-01  1.28
2004-04-01  1.24
2004-07-01  1.19
2004-10-01  1.10
2005-01-01  1.06
2005-04-01  1.06
2005-07-01  0.99
2005-10-01  0.91
2006-01-01  0.90
2006-04-01  0.85
2006-07-01  0.82
2006-10-01  0.80
2007-01-01  0.76
2007-04-01  0.75
2007-07-01  0.76
2007-10-01  0.84
2008-01-01  1.11
2008-04-01  1.45
2008-07-01  1.77
2008-10-01  1.66
2009-01-01  1.93
2009-04-01  2.45
2009-07-01  2.80
2009-10-01  2.92
2010-01-01  3.27
2010-04-01  3.30
2010-07-01  3.24
2010-10-01  3.18
2011-01-01  3.21
2011-04-01  3.17
2011-07-01  3.04
2011-10-01  3.00
2012-01-01  2.97
2012-04-01  2.85
2012-07-01  2.40
2012-10-01  2.16
2013-01-01  1.98
2013-04-01  1.85
2013-07-01  1.66
2013-10-01  1.51
2014-01-01  1.44
2014-04-01  1.40
2014-07-01  1.36
2014-10-01  1.56
2015-01-01  1.48
2015-04-01  1.40
2015-07-01  1.35
2015-10-01  1.29
2016-01-01  1.27
2016-04-01  1.23
2016-07-01  1.21
2016-10-01  1.17
2017-01-01  1.16
2017-04-01  1.13
2017-07-01  1.10
2017-10-01  1.07
2018-01-01  1.06
2018-04-01  1.05
2018-07-01  1.02
