Title:               Net Loan Losses to Average Total Loans for Banks in North Carolina
Series ID:           NCLSTL
Source:              Federal Financial Institutions Examination Council (US)
Release:             Reports of Condition and Income for All Insured U.S. Commercial Banks
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly, End of Period
Units:               Percent
Date Range:          1984-01-01 to 2018-07-01
Last Updated:        2018-12-13 11:02 AM CST
Notes:               This series is constructed as a difference of Charge-offs on Allowance
                     for Loan and Lease Losses call item RIAD4635 and Recoveries on
                     Allowance for Loan and Lease Losses call item RIAD4605 to the Total
                     Loans and Leases, Net of Unearned Income call item RCFD2122.
                     Geographic location is determined by Abbreviated State Name call item
                     RSSD9200 = 'NC' representing two character state abbreviation of North
                     Carolina.
                     Data are annualized.
                     For more information and definition about the specific call item
                     codes, please see
                     http://www.federalreserve.gov/apps/mdrm/data-dictionary.
                     This series is calculated by the Federal Reserve Bank of St. Louis
                     using raw data that are collected by the FFIEC. Raw data can be found
                     at https://cdr.ffiec.gov/public/.

DATE       VALUE
1984-01-01  0.11
1984-04-01  0.15
1984-07-01  0.18
1984-10-01  0.22
1985-01-01  0.15
1985-04-01  0.15
1985-07-01  0.13
1985-10-01  0.22
1986-01-01  0.25
1986-04-01  0.22
1986-07-01  0.24
1986-10-01  0.27
1987-01-01  0.25
1987-04-01  0.32
1987-07-01  0.33
1987-10-01  0.56
1988-01-01  1.08
1988-04-01  0.68
1988-07-01  0.55
1988-10-01  0.47
1989-01-01  0.17
1989-04-01  0.18
1989-07-01  0.19
1989-10-01  0.24
1990-01-01  0.24
1990-04-01  0.36
1990-07-01  0.41
1990-10-01  0.48
1991-01-01  0.46
1991-04-01  0.61
1991-07-01  0.80
1991-10-01  0.95
1992-01-01  0.44
1992-04-01  0.32
1992-07-01  0.36
1992-10-01  0.51
1993-01-01  0.22
1993-04-01  0.19
1993-07-01  0.19
1993-10-01  0.20
1994-01-01  0.16
1994-04-01  0.09
1994-07-01  0.09
1994-10-01  0.09
1995-01-01  0.13
1995-04-01  0.12
1995-07-01  0.13
1995-10-01  0.16
1996-01-01  0.41
1996-04-01  0.31
1996-07-01  0.28
1996-10-01  0.25
1997-01-01  0.17
1997-04-01  0.64
1997-07-01  0.57
1997-10-01  0.54
1998-01-01  0.31
1998-04-01  0.35
1998-07-01  0.35
1998-10-01  0.42
1999-01-01  0.49
1999-04-01  0.47
1999-07-01  0.52
1999-10-01  0.53
2000-01-01  0.40
2000-04-01  0.42
2000-07-01  0.43
2000-10-01  0.69
2001-01-01  0.60
2001-04-01  0.63
2001-07-01  0.76
2001-10-01  0.85
2002-01-01  0.72
2002-04-01  0.81
2002-07-01  0.81
2002-10-01  0.83
2003-01-01  0.57
2003-04-01  0.51
2003-07-01  0.47
2003-10-01  0.44
2004-01-01  0.25
2004-04-01  0.23
2004-07-01  0.20
2004-10-01  0.18
2005-01-01  0.13
2005-04-01  0.11
2005-07-01  0.15
2005-10-01  0.16
2006-01-01  0.11
2006-04-01  0.09
2006-07-01  0.11
2006-10-01  0.12
2007-01-01  0.15
2007-04-01  0.16
2007-07-01  0.19
2007-10-01  0.24
2008-01-01  0.56
2008-04-01  0.73
2008-07-01  0.88
2008-10-01  0.68
2009-01-01  1.44
2009-04-01  1.71
2009-07-01  1.93
2009-10-01  2.01
2010-01-01  2.23
2010-04-01  2.10
2010-07-01  1.98
2010-10-01  1.87
2011-01-01  1.34
2011-04-01  1.36
2011-07-01  1.36
2011-10-01  1.33
2012-01-01  1.10
2012-04-01  1.06
2012-07-01  1.13
2012-10-01  1.09
2013-01-01  0.67
2013-04-01  0.59
2013-07-01  0.51
2013-10-01  0.46
2014-01-01  0.26
2014-04-01  0.21
2014-07-01  0.20
2014-10-01  0.51
2015-01-01  0.49
2015-04-01  0.46
2015-07-01  0.43
2015-10-01  0.44
2016-01-01  0.43
2016-04-01  0.41
2016-07-01  0.39
2016-10-01  0.38
2017-01-01  0.37
2017-04-01  0.37
2017-07-01  0.36
2017-10-01  0.39
2018-01-01  0.35
2018-04-01  0.36
2018-07-01  0.36
