Title:               State Government Tax Collections, Public Utilities - Selective Sales Taxes in North Carolina
Series ID:           NCUTILITAX
Source:              U.S. Bureau of the Census
Release:             State Government Tax Collections (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Dollars
Date Range:          1942-01-01 to 2017-01-01
Last Updated:        2019-01-07 1:31 PM CST
Notes:               For more information, see
                     http://www.census.gov/govs/www/statetax.html.

DATE         VALUE
1942-01-01    3648
1943-01-01       .
1944-01-01    4267
1945-01-01       .
1946-01-01    4498
1947-01-01       .
1948-01-01    8149
1949-01-01       .
1950-01-01   10440
1951-01-01   11408
1952-01-01   12288
1953-01-01   14348
1954-01-01   15342
1955-01-01   16439
1956-01-01   17842
1957-01-01   18907
1958-01-01   19929
1959-01-01   21490
1960-01-01   23943
1961-01-01   25550
1962-01-01   27426
1963-01-01   30121
1964-01-01   32258
1965-01-01   34836
1966-01-01   38467
1967-01-01   41841
1968-01-01   46775
1969-01-01   51644
1970-01-01   58392
1971-01-01   65204
1972-01-01   73556
1973-01-01   83573
1974-01-01   90316
1975-01-01  111998
1976-01-01  132413
1977-01-01  143992
1978-01-01  160126
1979-01-01  179335
1980-01-01  199067
1981-01-01  236858
1982-01-01  272333
1983-01-01  304277
1984-01-01  333944
1985-01-01  315718
1986-01-01  199209
1987-01-01  207465
1988-01-01  225244
1989-01-01  226481
1990-01-01  252817
1991-01-01  222096
1992-01-01  248274
1993-01-01  257386
1994-01-01  279467
1995-01-01  277433
1996-01-01  299145
1997-01-01  311723
1998-01-01  340721
1999-01-01  340498
2000-01-01  386551
2001-01-01  421683
2002-01-01  407405
2003-01-01  321807
2004-01-01  319730
2005-01-01  327798
2006-01-01  353066
2007-01-01  372028
2008-01-01  388780
2009-01-01  393923
2010-01-01  398661
2011-01-01  400665
2012-01-01  381934
2013-01-01  396055
2014-01-01  403194
2015-01-01       0
2016-01-01     122
2017-01-01     259
