Title:               Resident Population in Clay County, NC
Series ID:           NCCLAY3POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE         VALUE
1970-01-01   5.180
1971-01-01   5.300
1972-01-01   5.300
1973-01-01   5.500
1974-01-01   5.500
1975-01-01   5.800
1976-01-01   5.800
1977-01-01   5.900
1978-01-01   6.200
1979-01-01   6.500
1980-01-01   6.619
1981-01-01   6.789
1982-01-01   6.878
1983-01-01   6.923
1984-01-01   7.025
1985-01-01   7.005
1986-01-01   7.168
1987-01-01   7.173
1988-01-01   7.189
1989-01-01   7.134
1990-01-01   7.167
1991-01-01   7.251
1992-01-01   7.292
1993-01-01   7.470
1994-01-01   7.699
1995-01-01   7.889
1996-01-01   8.022
1997-01-01   8.267
1998-01-01   8.499
1999-01-01   8.649
2000-01-01   8.798
2001-01-01   9.038
2002-01-01   9.202
2003-01-01   9.333
2004-01-01   9.460
2005-01-01   9.680
2006-01-01   9.923
2007-01-01  10.149
2008-01-01  10.264
2009-01-01  10.289
2010-01-01  10.608
2011-01-01  10.690
2012-01-01  10.662
2013-01-01  10.612
2014-01-01  10.593
2015-01-01  10.668
2016-01-01  10.819
2017-01-01  11.074
