Title:               Resident Population in Cumberland County, NC
Series ID:           NCCUMB2POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE          VALUE
1970-01-01  212.042
1971-01-01  214.300
1972-01-01  215.300
1973-01-01  221.300
1974-01-01  233.200
1975-01-01  233.800
1976-01-01  238.900
1977-01-01  243.200
1978-01-01  246.400
1979-01-01  244.200
1980-01-01  247.160
1981-01-01  250.088
1982-01-01  251.394
1983-01-01  255.050
1984-01-01  259.011
1985-01-01  261.674
1986-01-01  262.034
1987-01-01  265.418
1988-01-01  264.423
1989-01-01  272.114
1990-01-01  275.834
1991-01-01  279.663
1992-01-01  280.941
1993-01-01  289.477
1994-01-01  291.262
1995-01-01  294.091
1996-01-01  295.446
1997-01-01  299.348
1998-01-01  299.506
1999-01-01  301.608
2000-01-01  303.650
2001-01-01  303.476
2002-01-01  304.229
2003-01-01  301.500
2004-01-01  304.671
2005-01-01  298.774
2006-01-01  301.464
2007-01-01  302.333
2008-01-01  304.481
2009-01-01  308.311
2010-01-01  327.214
2011-01-01  330.877
2012-01-01  330.224
2013-01-01  333.273
2014-01-01  332.721
2015-01-01  331.752
2016-01-01  333.538
2017-01-01  332.546
