Title:               Quantity Indexes for Real Gross Domestic Product by Industry: Private Industries: Manufacturing: Durable Goods Manufacturing for North Carolina
Series ID:           NCDURMANQQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Index 2012=100
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:15 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE          VALUE
2005-01-01   65.738
2005-04-01   67.986
2005-07-01   73.201
2005-10-01   81.640
2006-01-01   92.076
2006-04-01   99.665
2006-07-01  102.141
2006-10-01  104.809
2007-01-01  102.273
2007-04-01  100.568
2007-07-01  103.200
2007-10-01  103.649
2008-01-01  102.409
2008-04-01  104.624
2008-07-01  103.358
2008-10-01   97.318
2009-01-01   89.491
2009-04-01   87.648
2009-07-01   90.313
2009-10-01   95.196
2010-01-01  100.457
2010-04-01  103.304
2010-07-01  104.090
2010-10-01  105.126
2011-01-01   98.652
2011-04-01   95.997
2011-07-01   95.685
2011-10-01   94.829
2012-01-01   98.706
2012-04-01   98.962
2012-07-01  100.850
2012-10-01  101.482
2013-01-01  109.729
2013-04-01  111.391
2013-07-01  112.511
2013-10-01  113.229
2014-01-01  108.856
2014-04-01  112.764
2014-07-01  116.585
2014-10-01  115.485
2015-01-01  116.998
2015-04-01  115.272
2015-07-01  116.899
2015-10-01  115.135
2016-01-01  116.393
2016-04-01  112.802
2016-07-01  113.480
2016-10-01  114.942
2017-01-01  115.114
2017-04-01  118.839
2017-07-01  118.851
2017-10-01  121.324
2018-01-01  122.168
2018-04-01  123.993
