Title:               Real Gross Domestic Product by Industry: Private Industries: Manufacturing for North Carolina
Series ID:           NCMANRQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Millions of Chained 2012 Dollars
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:15 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE           VALUE
2005-01-01   77311.3
2005-04-01   78561.5
2005-07-01   81851.1
2005-10-01   86033.1
2006-01-01   91953.9
2006-04-01   96155.1
2006-07-01   97528.3
2006-10-01  100789.2
2007-01-01   98896.4
2007-04-01   98409.2
2007-07-01   99142.4
2007-10-01  101432.3
2008-01-01   96175.4
2008-04-01   98285.6
2008-07-01   94918.0
2008-10-01   89127.0
2009-01-01   87560.7
2009-04-01   89771.3
2009-07-01   91437.9
2009-10-01   94266.4
2010-01-01   93248.5
2010-04-01   90032.4
2010-07-01   89732.5
2010-10-01   91558.3
2011-01-01   90803.0
2011-04-01   94226.6
2011-07-01   90696.2
2011-10-01   89200.0
2012-01-01   87025.7
2012-04-01   83873.4
2012-07-01   82605.8
2012-10-01   82201.4
2013-01-01   88918.7
2013-04-01   90150.1
2013-07-01   91475.9
2013-10-01   89568.4
2014-01-01   87405.5
2014-04-01   87432.2
2014-07-01   86850.0
2014-10-01   86720.1
2015-01-01   90022.5
2015-04-01   90440.1
2015-07-01   89123.2
2015-10-01   86116.0
2016-01-01   87955.2
2016-04-01   85760.2
2016-07-01   84721.2
2016-10-01   84779.5
2017-01-01   87717.7
2017-04-01   89499.7
2017-07-01   89459.4
2017-10-01   91359.2
2018-01-01   91686.2
2018-04-01   91717.0
