Title:               Quantity Indexes for Real Gross Domestic Product by Industry: Private Industries: Finance, Insurance, Real Estate, Rental, and Leasing: Finance and Insurance for North Carolina
Series ID:           NCFININSQQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Index 2012=100
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:15 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE          VALUE
2005-01-01  104.283
2005-04-01   98.948
2005-07-01   94.362
2005-10-01   91.094
2006-01-01  105.583
2006-04-01   98.434
2006-07-01   91.465
2006-10-01   85.544
2007-01-01   90.243
2007-04-01   77.996
2007-07-01   70.452
2007-10-01   67.994
2008-01-01  103.219
2008-04-01  100.707
2008-07-01  100.259
2008-10-01   98.159
2009-01-01   75.852
2009-04-01   89.535
2009-07-01   96.368
2009-10-01   99.110
2010-01-01   77.872
2010-04-01   82.135
2010-07-01   85.031
2010-10-01   95.959
2011-01-01   96.252
2011-04-01   96.944
2011-07-01   94.788
2011-10-01   90.416
2012-01-01  103.665
2012-04-01   98.462
2012-07-01   98.334
2012-10-01   99.539
2013-01-01   86.793
2013-04-01   89.759
2013-07-01   94.943
2013-10-01   97.118
2014-01-01   96.706
2014-04-01   94.729
2014-07-01   95.110
2014-10-01   94.822
2015-01-01   99.322
2015-04-01  100.949
2015-07-01   97.213
2015-10-01   97.478
2016-01-01   95.416
2016-04-01   94.736
2016-07-01   96.342
2016-10-01   99.983
2017-01-01   97.222
2017-04-01   97.692
2017-07-01   94.910
2017-10-01   94.848
2018-01-01   95.031
2018-04-01   94.674
