Title:               Gross Domestic Product by Industry: Private Industries: Educational Services, Health Care, and Social Assistance: Health Care and Social Assistance for North Carolina
Series ID:           NCHLTHSOCASSNQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Millions of Dollars
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:15 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE          VALUE
2005-01-01  20644.0
2005-04-01  20782.3
2005-07-01  21074.4
2005-10-01  21512.7
2006-01-01  22440.1
2006-04-01  22788.3
2006-07-01  23022.6
2006-10-01  23517.0
2007-01-01  23667.6
2007-04-01  24115.4
2007-07-01  24432.5
2007-10-01  24987.6
2008-01-01  25580.7
2008-04-01  25994.1
2008-07-01  26306.1
2008-10-01  27135.8
2009-01-01  27169.1
2009-04-01  27656.7
2009-07-01  27939.3
2009-10-01  28072.9
2010-01-01  27997.2
2010-04-01  27995.0
2010-07-01  28118.5
2010-10-01  27855.6
2011-01-01  28173.2
2011-04-01  28206.1
2011-07-01  28119.4
2011-10-01  28643.6
2012-01-01  29188.5
2012-04-01  29160.3
2012-07-01  29615.1
2012-10-01  29992.7
2013-01-01  30405.1
2013-04-01  30338.8
2013-07-01  30325.3
2013-10-01  30363.2
2014-01-01  30614.1
2014-04-01  31092.2
2014-07-01  31818.9
2014-10-01  32292.8
2015-01-01  32223.0
2015-04-01  32244.6
2015-07-01  32663.2
2015-10-01  32731.0
2016-01-01  33798.8
2016-04-01  33820.9
2016-07-01  33687.0
2016-10-01  34654.3
2017-01-01  35368.0
2017-04-01  35769.9
2017-07-01  35811.6
2017-10-01  36576.7
2018-01-01  36891.2
2018-04-01  37526.0
