Title:               Real Gross Domestic Product by Industry: Private Industries: Educational Services, Health Care, and Social Assistance: Health Care and Social Assistance for North Carolina
Series ID:           NCHLTHSOCASSRQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Millions of Chained 2012 Dollars
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:15 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE          VALUE
2005-01-01  24572.1
2005-04-01  24661.7
2005-07-01  25064.4
2005-10-01  25439.2
2006-01-01  26398.9
2006-04-01  26631.2
2006-07-01  26663.7
2006-10-01  26980.3
2007-01-01  26713.2
2007-04-01  26973.8
2007-07-01  27078.9
2007-10-01  27518.2
2008-01-01  28056.3
2008-04-01  28463.0
2008-07-01  28714.1
2008-10-01  29348.7
2009-01-01  29028.1
2009-04-01  29309.0
2009-07-01  29394.7
2009-10-01  29374.9
2010-01-01  29154.3
2010-04-01  28987.4
2010-07-01  28952.4
2010-10-01  28557.1
2011-01-01  28844.7
2011-04-01  28796.4
2011-07-01  28610.5
2011-10-01  29016.8
2012-01-01  29387.7
2012-04-01  29180.0
2012-07-01  29517.0
2012-10-01  29871.9
2013-01-01  30167.2
2013-04-01  30072.5
2013-07-01  29947.7
2013-10-01  29885.8
2014-01-01  30151.6
2014-04-01  30496.0
2014-07-01  31070.2
2014-10-01  31474.0
2015-01-01  31405.6
2015-04-01  31287.2
2015-07-01  31510.4
2015-10-01  31443.8
2016-01-01  32311.2
2016-04-01  32146.9
2016-07-01  31788.6
2016-10-01  32515.4
2017-01-01  33086.5
2017-04-01  33358.6
2017-07-01  33256.3
2017-10-01  33868.8
2018-01-01  34018.7
2018-04-01  34431.4
