Title:               Quantity Indexes for Real Gross Domestic Product by Industry: Private Industries: Educational Services, Health Care, and Social Assistance: Health Care and Social Assistance for North Carolina
Series ID:           NCHLTHSOCASSQQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Index 2012=100
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:15 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE          VALUE
2005-01-01   83.326
2005-04-01   83.630
2005-07-01   84.995
2005-10-01   86.266
2006-01-01   89.521
2006-04-01   90.309
2006-07-01   90.419
2006-10-01   91.492
2007-01-01   90.587
2007-04-01   91.470
2007-07-01   91.827
2007-10-01   93.316
2008-01-01   95.141
2008-04-01   96.520
2008-07-01   97.372
2008-10-01   99.524
2009-01-01   98.437
2009-04-01   99.389
2009-07-01   99.680
2009-10-01   99.612
2010-01-01   98.864
2010-04-01   98.299
2010-07-01   98.180
2010-10-01   96.839
2011-01-01   97.815
2011-04-01   97.651
2011-07-01   97.020
2011-10-01   98.398
2012-01-01   99.656
2012-04-01   98.952
2012-07-01  100.094
2012-10-01  101.298
2013-01-01  102.299
2013-04-01  101.978
2013-07-01  101.555
2013-10-01  101.345
2014-01-01  102.246
2014-04-01  103.414
2014-07-01  105.362
2014-10-01  106.731
2015-01-01  106.499
2015-04-01  106.097
2015-07-01  106.854
2015-10-01  106.628
2016-01-01  109.570
2016-04-01  109.013
2016-07-01  107.798
2016-10-01  110.262
2017-01-01  112.199
2017-04-01  113.122
2017-07-01  112.775
2017-10-01  114.852
2018-01-01  115.360
2018-04-01  116.760
