Title:               Resident Population in Haywood County, NC
Series ID:           NCHAYW7POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE         VALUE
1970-01-01  41.710
1971-01-01  42.500
1972-01-01  43.300
1973-01-01  43.400
1974-01-01  43.800
1975-01-01  44.500
1976-01-01  44.900
1977-01-01  44.900
1978-01-01  45.700
1979-01-01  46.200
1980-01-01  46.495
1981-01-01  46.742
1982-01-01  46.894
1983-01-01  46.649
1984-01-01  47.125
1985-01-01  47.331
1986-01-01  47.747
1987-01-01  47.194
1988-01-01  47.267
1989-01-01  47.110
1990-01-01  47.003
1991-01-01  47.631
1992-01-01  48.510
1993-01-01  49.295
1994-01-01  49.723
1995-01-01  50.513
1996-01-01  51.397
1997-01-01  52.343
1998-01-01  52.996
1999-01-01  53.602
2000-01-01  54.095
2001-01-01  54.543
2002-01-01  54.906
2003-01-01  55.362
2004-01-01  55.813
2005-01-01  55.863
2006-01-01  56.229
2007-01-01  56.707
2008-01-01  56.915
2009-01-01  57.034
2010-01-01  58.940
2011-01-01  58.740
2012-01-01  58.665
2013-01-01  58.985
2014-01-01  59.152
2015-01-01  59.661
2016-01-01  60.388
2017-01-01  61.084
