Title:               Civilian Labor Force for North Carolina
Series ID:           CIVLFNC
Source:              U.S. Bureau of Labor Statistics
Release:             Alternative Measures of Labor Underutilization for States
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Persons, 4-Quarter Moving Average
Date Range:          2003-10-01 to 2018-01-01
Last Updated:        2018-04-27 10:31 AM CDT
Notes:               

DATE          VALUE
2003-10-01  4216400
2004-01-01  4227400
2004-04-01  4239800
2004-07-01  4231200
2004-10-01  4219000
2005-01-01  4222400
2005-04-01  4232700
2005-07-01  4274600
2005-10-01  4299700
2006-01-01  4311700
2006-04-01  4333900
2006-07-01  4383900
2006-10-01  4425600
2007-01-01  4454200
2007-04-01  4487600
2007-07-01  4495200
2007-10-01  4493800
2008-01-01  4508200
2008-04-01  4517000
2008-07-01  4532700
2008-10-01  4547800
2009-01-01  4550900
2009-04-01  4564100
2009-07-01  4566800
2009-10-01  4580500
2010-01-01  4596400
2010-04-01  4612700
2010-07-01  4612600
2010-10-01  4590100
2011-01-01  4576400
2011-04-01  4562000
2011-07-01  4550500
2011-10-01  4549200
2012-01-01  4574200
2012-04-01  4576000
2012-07-01  4615500
2012-10-01  4693500
2013-01-01  4694600
2013-04-01  4696000
2013-07-01  4684600
2013-10-01  4663500
2014-01-01  4665500
2014-04-01  4676700
2014-07-01  4659500
2014-10-01  4640900
2015-01-01  4681700
2015-04-01  4715600
2015-07-01  4755100
2015-10-01  4788400
2016-01-01  4812600
2016-04-01  4819600
2016-07-01  4830300
2016-10-01  4873100
2017-01-01  4870900
2017-04-01  4875300
2017-07-01  4911500
2017-10-01  4905900
2018-01-01  4924200
