Title:               Average Hourly Earnings of All Employees: Total Private in Jacksonville, NC (MSA)
Series ID:           SMU37273400500000003
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Hour
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               

DATE        VALUE
2007-01-01  12.09
2007-02-01  12.26
2007-03-01  12.58
2007-04-01  12.85
2007-05-01  13.10
2007-06-01  13.19
2007-07-01  13.15
2007-08-01  13.42
2007-09-01  13.39
2007-10-01  13.66
2007-11-01  13.88
2007-12-01  14.19
2008-01-01  14.74
2008-02-01  15.83
2008-03-01  15.59
2008-04-01  15.53
2008-05-01  15.53
2008-06-01  14.34
2008-07-01  13.14
2008-08-01  12.98
2008-09-01  14.23
2008-10-01  13.76
2008-11-01  14.36
2008-12-01  14.05
2009-01-01  14.05
2009-02-01  14.92
2009-03-01  14.70
2009-04-01  14.95
2009-05-01  14.85
2009-06-01  15.27
2009-07-01  15.61
2009-08-01  15.61
2009-09-01  15.03
2009-10-01  15.46
2009-11-01  16.06
2009-12-01  16.02
2010-01-01  16.34
2010-02-01  16.20
2010-03-01  16.51
2010-04-01  16.19
2010-05-01  16.49
2010-06-01  15.96
2010-07-01  16.30
2010-08-01  16.73
2010-09-01  16.34
2010-10-01  16.66
2010-11-01  16.80
2010-12-01  17.06
2011-01-01  16.83
2011-02-01  16.98
2011-03-01  16.95
2011-04-01  16.54
2011-05-01  16.36
2011-06-01  16.64
2011-07-01  16.34
2011-08-01  16.30
2011-09-01  16.40
2011-10-01  16.28
2011-11-01  16.21
2011-12-01  16.52
2012-01-01  16.68
2012-02-01  17.08
2012-03-01  17.38
2012-04-01  17.76
2012-05-01  17.92
2012-06-01  18.06
2012-07-01  17.20
2012-08-01  18.04
2012-09-01  18.23
2012-10-01  18.13
2012-11-01  17.68
2012-12-01  17.93
2013-01-01  17.86
2013-02-01  17.99
2013-03-01  17.82
2013-04-01  17.93
2013-05-01  17.64
2013-06-01  17.80
2013-07-01  17.29
2013-08-01  17.82
2013-09-01  18.27
2013-10-01  18.30
2013-11-01  18.21
2013-12-01  18.49
2014-01-01  18.27
2014-02-01  17.95
2014-03-01  19.09
2014-04-01  18.92
2014-05-01  18.33
2014-06-01  19.17
2014-07-01  18.83
2014-08-01  18.92
2014-09-01  18.80
2014-10-01  18.46
2014-11-01  18.60
2014-12-01  17.78
2015-01-01  17.70
2015-02-01  17.42
2015-03-01  17.29
2015-04-01  17.04
2015-05-01  17.02
2015-06-01  16.95
2015-07-01  16.73
2015-08-01  16.87
2015-09-01  16.59
2015-10-01  16.59
2015-11-01  16.85
2015-12-01  16.71
2016-01-01  16.67
2016-02-01  16.62
2016-03-01  16.80
2016-04-01  16.60
2016-05-01  16.09
2016-06-01  16.44
2016-07-01  15.91
2016-08-01  16.29
2016-09-01  16.63
2016-10-01  16.30
2016-11-01  16.80
2016-12-01  16.50
2017-01-01  16.99
2017-02-01  17.30
2017-03-01  16.83
2017-04-01  16.79
2017-05-01  16.92
2017-06-01  17.02
2017-07-01  17.40
2017-08-01  17.25
2017-09-01  16.87
2017-10-01  16.83
2017-11-01  16.90
2017-12-01  16.91
2018-01-01  17.29
2018-02-01  17.23
2018-03-01  16.97
2018-04-01  17.38
2018-05-01  17.09
2018-06-01  17.05
2018-07-01  17.32
2018-08-01  16.94
2018-09-01  20.25
2018-10-01  18.16
