Title:               Average Weekly Earnings of All Employees: Total Private in Fayetteville, NC (MSA)
Series ID:           SMU37221800500000011
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Week
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               

DATE         VALUE
2007-01-01  535.23
2007-02-01  471.17
2007-03-01  486.38
2007-04-01  489.04
2007-05-01  490.69
2007-06-01  483.47
2007-07-01  492.80
2007-08-01  471.23
2007-09-01  488.70
2007-10-01  473.48
2007-11-01  464.63
2007-12-01  474.83
2008-01-01  487.74
2008-02-01  516.00
2008-03-01  503.25
2008-04-01  513.81
2008-05-01  494.49
2008-06-01  537.51
2008-07-01  510.38
2008-08-01  521.05
2008-09-01  528.26
2008-10-01  486.92
2008-11-01  484.13
2008-12-01  507.98
2009-01-01  481.07
2009-02-01  493.44
2009-03-01  496.39
2009-04-01  486.58
2009-05-01  487.23
2009-06-01  479.14
2009-07-01  485.44
2009-08-01  498.89
2009-09-01  502.12
2009-10-01  504.20
2009-11-01  506.56
2009-12-01  521.24
2010-01-01  494.52
2010-02-01  512.32
2010-03-01  508.80
2010-04-01  524.88
2010-05-01  529.33
2010-06-01  524.84
2010-07-01  530.82
2010-08-01  548.44
2010-09-01  539.88
2010-10-01  530.69
2010-11-01  532.95
2010-12-01  542.57
2011-01-01  538.47
2011-02-01  557.60
2011-03-01  525.19
2011-04-01  558.45
2011-05-01  573.90
2011-06-01  576.30
2011-07-01  589.93
2011-08-01  585.14
2011-09-01  602.05
2011-10-01  617.04
2011-11-01  593.19
2011-12-01  591.56
2012-01-01  644.45
2012-02-01  660.15
2012-03-01  687.23
2012-04-01  735.05
2012-05-01  710.04
2012-06-01  778.24
2012-07-01  779.59
2012-08-01  736.20
2012-09-01  749.98
2012-10-01  725.67
2012-11-01  712.44
2012-12-01  717.65
2013-01-01  707.97
2013-02-01  703.07
2013-03-01  687.75
2013-04-01  681.95
2013-05-01  669.02
2013-06-01  664.13
2013-07-01  646.46
2013-08-01  664.47
2013-09-01  666.40
2013-10-01  653.11
2013-11-01  656.77
2013-12-01  647.38
2014-01-01  623.68
2014-02-01  614.73
2014-03-01  629.70
2014-04-01  613.86
2014-05-01  606.05
2014-06-01  619.49
2014-07-01  614.05
2014-08-01  618.56
2014-09-01  615.61
2014-10-01  615.93
2014-11-01  632.09
2014-12-01  609.21
2015-01-01  608.53
2015-02-01  621.41
2015-03-01  634.38
2015-04-01  614.72
2015-05-01  621.14
2015-06-01  630.18
2015-07-01  637.96
2015-08-01  646.77
2015-09-01  624.68
2015-10-01  632.44
2015-11-01  625.01
2015-12-01  633.43
2016-01-01  612.44
2016-02-01  607.78
2016-03-01  631.73
2016-04-01  619.45
2016-05-01  624.69
2016-06-01  616.22
2016-07-01  614.76
2016-08-01  617.62
2016-09-01  606.45
2016-10-01  605.41
2016-11-01  606.35
2016-12-01  614.06
2017-01-01  598.13
2017-02-01  563.43
2017-03-01  566.48
2017-04-01  590.85
2017-05-01  582.55
2017-06-01  593.32
2017-07-01  581.70
2017-08-01  553.55
2017-09-01  559.67
2017-10-01  571.38
2017-11-01  575.91
2017-12-01  579.58
2018-01-01  574.56
2018-02-01  593.45
2018-03-01  580.69
2018-04-01  599.77
2018-05-01  571.06
2018-06-01  581.12
2018-07-01  583.37
2018-08-01  595.47
2018-09-01  579.92
2018-10-01  588.39
