Title:               Average Weekly Earnings of All Employees: Total Private in Greensboro-High Point, NC (MSA)
Series ID:           SMU37246600500000011
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Week
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               

DATE         VALUE
2007-01-01  740.42
2007-02-01  753.54
2007-03-01  772.99
2007-04-01  750.88
2007-05-01  757.89
2007-06-01  744.07
2007-07-01  727.26
2007-08-01  720.15
2007-09-01  729.49
2007-10-01  719.23
2007-11-01  714.85
2007-12-01  717.93
2008-01-01  700.70
2008-02-01  680.43
2008-03-01  704.63
2008-04-01  737.10
2008-05-01  692.35
2008-06-01  717.79
2008-07-01  685.86
2008-08-01  731.64
2008-09-01  727.78
2008-10-01  745.46
2008-11-01  755.79
2008-12-01  740.09
2009-01-01  723.67
2009-02-01  719.85
2009-03-01  718.49
2009-04-01  715.08
2009-05-01  719.78
2009-06-01  713.78
2009-07-01  746.48
2009-08-01  755.77
2009-09-01  753.91
2009-10-01  750.03
2009-11-01  756.70
2009-12-01  747.36
2010-01-01  757.15
2010-02-01  750.29
2010-03-01  756.55
2010-04-01  757.17
2010-05-01  764.24
2010-06-01  751.75
2010-07-01  760.72
2010-08-01  765.03
2010-09-01  747.56
2010-10-01  753.95
2010-11-01  754.49
2010-12-01  751.03
2011-01-01  729.05
2011-02-01  722.10
2011-03-01  717.26
2011-04-01  720.83
2011-05-01  726.95
2011-06-01  718.97
2011-07-01  732.83
2011-08-01  722.09
2011-09-01  725.31
2011-10-01  729.00
2011-11-01  729.13
2011-12-01  732.83
2012-01-01  737.39
2012-02-01  741.61
2012-03-01  740.52
2012-04-01  745.54
2012-05-01  718.41
2012-06-01  719.23
2012-07-01  723.85
2012-08-01  713.86
2012-09-01  734.26
2012-10-01  721.26
2012-11-01  721.72
2012-12-01  734.43
2013-01-01  717.23
2013-02-01  734.50
2013-03-01  736.31
2013-04-01  739.08
2013-05-01  727.82
2013-06-01  729.36
2013-07-01  721.50
2013-08-01  724.46
2013-09-01  751.03
2013-10-01  738.36
2013-11-01  740.88
2013-12-01  749.80
2014-01-01  742.85
2014-02-01  733.21
2014-03-01  750.68
2014-04-01  729.79
2014-05-01  739.80
2014-06-01  727.33
2014-07-01  723.24
2014-08-01  728.34
2014-09-01  738.25
2014-10-01  739.20
2014-11-01  754.69
2014-12-01  743.06
2015-01-01  741.19
2015-02-01  756.13
2015-03-01  749.95
2015-04-01  739.51
2015-05-01  746.57
2015-06-01  742.20
2015-07-01  751.60
2015-08-01  779.21
2015-09-01  764.67
2015-10-01  761.29
2015-11-01  774.53
2015-12-01  765.04
2016-01-01  759.64
2016-02-01  779.40
2016-03-01  777.59
2016-04-01  785.18
2016-05-01  797.89
2016-06-01  786.96
2016-07-01  785.52
2016-08-01  796.26
2016-09-01  796.73
2016-10-01  817.11
2016-11-01  796.55
2016-12-01  794.52
2017-01-01  811.46
2017-02-01  820.29
2017-03-01  824.26
2017-04-01  849.06
2017-05-01  818.88
2017-06-01  821.63
2017-07-01  832.25
2017-08-01  830.61
2017-09-01  836.86
2017-10-01  860.99
2017-11-01  823.43
2017-12-01  816.66
2018-01-01  857.27
2018-02-01  872.71
2018-03-01  866.30
2018-04-01  887.68
2018-05-01  850.47
2018-06-01  858.83
2018-07-01  879.61
2018-08-01  852.50
2018-09-01  871.92
2018-10-01  874.59
