Title:               Average Weekly Earnings of All Employees: Total Private in Durham-Chapel Hill, NC (MSA)
Series ID:           SMU37205000500000011SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Week
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 3:59 PM CST
Notes:               The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X13-ARIMA-SEATS Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at https://cran.r-project.org/web/packages/x12/index.html. More
                     information on X13-ARIMA-SEATS can be found at
                     https://www.census.gov/srd/www/x13as/.

DATE         VALUE
2007-01-01   709.7
2007-02-01   716.9
2007-03-01   770.0
2007-04-01   695.3
2007-05-01   673.1
2007-06-01   669.0
2007-07-01   670.9
2007-08-01   651.2
2007-09-01   681.6
2007-10-01   687.2
2007-11-01   625.3
2007-12-01   677.0
2008-01-01   694.0
2008-02-01   703.8
2008-03-01   722.3
2008-04-01   745.4
2008-05-01   763.1
2008-06-01   793.5
2008-07-01   850.4
2008-08-01   751.2
2008-09-01   739.1
2008-10-01   757.4
2008-11-01   783.6
2008-12-01   769.5
2009-01-01   761.3
2009-02-01   776.8
2009-03-01   780.1
2009-04-01   749.7
2009-05-01   744.3
2009-06-01   747.1
2009-07-01   760.2
2009-08-01   778.1
2009-09-01   758.9
2009-10-01   770.1
2009-11-01   777.3
2009-12-01   770.6
2010-01-01   775.7
2010-02-01   761.9
2010-03-01   772.5
2010-04-01   789.2
2010-05-01   820.5
2010-06-01   793.2
2010-07-01   795.3
2010-08-01   838.1
2010-09-01   813.2
2010-10-01   826.9
2010-11-01   824.5
2010-12-01   834.8
2011-01-01   850.7
2011-02-01   837.5
2011-03-01   824.1
2011-04-01   824.4
2011-05-01   868.2
2011-06-01   848.3
2011-07-01   868.2
2011-08-01   877.3
2011-09-01   874.4
2011-10-01   921.7
2011-11-01   896.4
2011-12-01   920.7
2012-01-01   928.0
2012-02-01   929.7
2012-03-01   932.5
2012-04-01   960.7
2012-05-01   934.4
2012-06-01   934.9
2012-07-01   954.7
2012-08-01   927.7
2012-09-01   949.9
2012-10-01   919.1
2012-11-01   940.6
2012-12-01   995.4
2013-01-01   948.4
2013-02-01   961.9
2013-03-01   959.5
2013-04-01   953.3
2013-05-01   929.8
2013-06-01   961.0
2013-07-01   930.1
2013-08-01   927.8
2013-09-01   945.9
2013-10-01   922.9
2013-11-01   926.3
2013-12-01   944.3
2014-01-01   904.1
2014-02-01   934.3
2014-03-01   988.1
2014-04-01   934.1
2014-05-01   927.5
2014-06-01   958.0
2014-07-01   948.2
2014-08-01   958.8
2014-09-01   987.2
2014-10-01   978.1
2014-11-01  1017.6
2014-12-01   954.7
2015-01-01   929.1
2015-02-01   959.0
2015-03-01  1011.0
2015-04-01   958.4
2015-05-01   975.2
2015-06-01   960.5
2015-07-01   958.8
2015-08-01  1001.0
2015-09-01   938.5
2015-10-01   947.8
2015-11-01   963.8
2015-12-01   947.2
2016-01-01   957.7
2016-02-01   946.1
2016-03-01   940.1
2016-04-01   937.5
2016-05-01   976.4
2016-06-01   965.1
2016-07-01   968.2
2016-08-01   988.6
2016-09-01   962.1
2016-10-01   971.8
2016-11-01   987.0
2016-12-01   976.6
2017-01-01   994.9
2017-02-01   972.0
2017-03-01   990.3
2017-04-01   993.9
2017-05-01   972.0
2017-06-01   942.5
2017-07-01   962.9
2017-08-01   935.1
2017-09-01   934.0
2017-10-01   942.5
2017-11-01   909.1
2017-12-01   926.9
2018-01-01   901.9
2018-02-01   932.3
2018-03-01   917.4
2018-04-01   933.4
2018-05-01   910.4
2018-06-01   917.3
2018-07-01   919.6
2018-08-01   929.9
2018-09-01   950.9
2018-10-01   958.4
