Title:               Average Hourly Earnings of All Employees: Total Private in Goldsboro, NC (MSA)
Series ID:           SMU37241400500000003
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Hour
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               

DATE        VALUE
2007-01-01  14.83
2007-02-01  15.23
2007-03-01  14.81
2007-04-01  15.83
2007-05-01  15.11
2007-06-01  15.84
2007-07-01  15.87
2007-08-01  15.76
2007-09-01  17.09
2007-10-01  16.84
2007-11-01  16.97
2007-12-01  17.85
2008-01-01  15.16
2008-02-01  16.99
2008-03-01  17.07
2008-04-01  16.43
2008-05-01  16.52
2008-06-01  15.44
2008-07-01  15.53
2008-08-01  15.42
2008-09-01  14.44
2008-10-01  14.48
2008-11-01  14.59
2008-12-01  14.85
2009-01-01  14.85
2009-02-01  15.06
2009-03-01  14.79
2009-04-01  14.63
2009-05-01  14.94
2009-06-01  14.86
2009-07-01  14.91
2009-08-01  14.77
2009-09-01  14.59
2009-10-01  14.76
2009-11-01  14.97
2009-12-01  14.83
2010-01-01  14.74
2010-02-01  14.89
2010-03-01  14.82
2010-04-01  15.23
2010-05-01  15.16
2010-06-01  15.04
2010-07-01  15.13
2010-08-01  15.29
2010-09-01  15.66
2010-10-01  15.39
2010-11-01  15.32
2010-12-01  15.38
2011-01-01  15.73
2011-02-01  15.74
2011-03-01  15.40
2011-04-01  15.42
2011-05-01  15.24
2011-06-01  15.25
2011-07-01  15.38
2011-08-01  15.46
2011-09-01  15.50
2011-10-01  15.66
2011-11-01  15.71
2011-12-01  16.04
2012-01-01  15.63
2012-02-01  15.90
2012-03-01  15.74
2012-04-01  16.09
2012-05-01  16.41
2012-06-01  16.51
2012-07-01  16.35
2012-08-01  16.65
2012-09-01  16.74
2012-10-01  16.94
2012-11-01  17.19
2012-12-01  17.25
2013-01-01  17.43
2013-02-01  17.59
2013-03-01  17.72
2013-04-01  18.01
2013-05-01  18.11
2013-06-01  18.28
2013-07-01  18.40
2013-08-01  18.40
2013-09-01  18.68
2013-10-01  18.98
2013-11-01  19.10
2013-12-01  19.32
2014-01-01  18.74
2014-02-01  19.01
2014-03-01  18.53
2014-04-01  18.44
2014-05-01  18.92
2014-06-01  18.53
2014-07-01  18.61
2014-08-01  18.51
2014-09-01  18.57
2014-10-01  18.62
2014-11-01  19.29
2014-12-01  18.71
2015-01-01  18.85
2015-02-01  18.69
2015-03-01  18.29
2015-04-01  18.33
2015-05-01  18.15
2015-06-01  18.18
2015-07-01  17.93
2015-08-01  18.12
2015-09-01  17.91
2015-10-01  18.44
2015-11-01  18.21
2015-12-01  18.03
2016-01-01  18.15
2016-02-01  18.35
2016-03-01  18.28
2016-04-01  18.33
2016-05-01  18.11
2016-06-01  19.05
2016-07-01  18.62
2016-08-01  18.36
2016-09-01  19.34
2016-10-01  18.77
2016-11-01  18.65
2016-12-01  18.04
2017-01-01  18.30
2017-02-01  17.92
2017-03-01  18.38
2017-04-01  18.36
2017-05-01  17.75
2017-06-01  17.88
2017-07-01  18.28
2017-08-01  17.92
2017-09-01  18.93
2017-10-01  18.98
2017-11-01  18.19
2017-12-01  18.60
2018-01-01  18.59
2018-02-01  18.32
2018-03-01  18.64
2018-04-01  18.54
2018-05-01  18.58
2018-06-01  18.54
2018-07-01  18.54
2018-08-01  18.67
2018-09-01  18.87
2018-10-01  19.04
