Title:               Economic Conditions Index for Virginia Beach-Norfolk-Newport News, VA-NC (MSA)
Series ID:           NFKAGRIDX
Source:              Federal Reserve Bank of St. Louis
Release:             Metro Area Economic Conditions Indexes (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Monthly
Units:               Percent
Date Range:          1990-02-01 to 2018-09-01
Last Updated:        2019-01-08 5:41 PM CST
Notes:               The economic activity index measures average economic growth in the
                     metropolitan area. It is computed using a dynamic factor model that
                     includes 12 variables measuring various aspects of economic activity
                     in the MSA. The index is calibrated to Gross Metropolitan Product
                     (GMP) growth and variance to allow for comparison across metro areas.
                     
                     For additional details, see Arias, M.A., C.S. Gascon and D.E. Rapach
                     (2016), “Metro Business Cycles,” Journal of Urban Economics 94,
                     90-108,
                     http://www.sciencedirect.com/science/article/pii/S009411901630016X.
                     Federal Reserve Bank of St. Louis Working Paper 2014-046C,
                     https://research.stlouisfed.org/wp/more/2014-046.

DATE        VALUE
1990-02-01   2.39
1990-03-01   1.39
1990-04-01  -1.31
1990-05-01  -0.40
1990-06-01  -0.13
1990-07-01  -1.00
1990-08-01  -1.62
1990-09-01  -0.94
1990-10-01   0.18
1990-11-01  -1.13
1990-12-01  -2.76
1991-01-01  -4.12
1991-02-01  -2.86
1991-03-01   1.16
1991-04-01   3.99
1991-05-01   2.79
1991-06-01   2.41
1991-07-01   1.79
1991-08-01   1.59
1991-09-01   0.90
1991-10-01  -0.69
1991-11-01  -1.03
1991-12-01   0.70
1992-01-01  -1.44
1992-02-01  -0.86
1992-03-01   0.43
1992-04-01   0.68
1992-05-01  -0.23
1992-06-01   0.96
1992-07-01   2.39
1992-08-01   4.39
1992-09-01   4.20
1992-10-01   3.11
1992-11-01   2.73
1992-12-01   1.79
1993-01-01   3.67
1993-02-01   3.74
1993-03-01   1.99
1993-04-01   2.08
1993-05-01   1.73
1993-06-01   1.63
1993-07-01   1.46
1993-08-01   1.34
1993-09-01   0.83
1993-10-01   2.26
1993-11-01   2.29
1993-12-01   1.09
1994-01-01  -0.50
1994-02-01   1.13
1994-03-01   3.74
1994-04-01   3.51
1994-05-01   3.63
1994-06-01   3.17
1994-07-01   5.67
1994-08-01   4.75
1994-09-01   4.04
1994-10-01   2.35
1994-11-01   3.59
1994-12-01   4.56
1995-01-01   5.01
1995-02-01   5.04
1995-03-01   3.18
1995-04-01   2.52
1995-05-01   4.31
1995-06-01   3.70
1995-07-01   1.79
1995-08-01   2.02
1995-09-01   3.19
1995-10-01   3.91
1995-11-01   2.86
1995-12-01   3.34
1996-01-01   4.06
1996-02-01   3.51
1996-03-01   3.23
1996-04-01   2.17
1996-05-01   1.26
1996-06-01   2.88
1996-07-01   4.22
1996-08-01   4.77
1996-09-01   2.83
1996-10-01   2.14
1996-11-01   2.35
1996-12-01   2.20
1997-01-01   3.81
1997-02-01   2.98
1997-03-01   1.93
1997-04-01   1.79
1997-05-01   2.73
1997-06-01   2.97
1997-07-01   3.95
1997-08-01   4.38
1997-09-01   5.30
1997-10-01   6.09
1997-11-01   4.53
1997-12-01   2.98
1998-01-01   1.28
1998-02-01   1.74
1998-03-01   2.89
1998-04-01   4.49
1998-05-01   3.00
1998-06-01   2.74
1998-07-01   4.09
1998-08-01   2.23
1998-09-01   1.45
1998-10-01   1.22
1998-11-01   2.08
1998-12-01   3.06
1999-01-01   2.44
1999-02-01   2.02
1999-03-01   0.88
1999-04-01  -2.08
1999-05-01   0.91
1999-06-01   1.11
1999-07-01   0.45
1999-08-01   6.73
1999-09-01   5.43
1999-10-01   4.54
