Title:               Gross Domestic Product by Industry: Private Industries: Arts, Entertainment, Recreation, Accommodation, and Food Services: Arts, Entertainment, and Recreation for North Carolina
Series ID:           NCARTENTRECNQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Millions of Dollars
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:15 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE         VALUE
2005-01-01  2237.6
2005-04-01  2381.3
2005-07-01  2538.7
2005-10-01  2518.3
2006-01-01  2669.3
2006-04-01  2761.3
2006-07-01  2752.7
2006-10-01  2829.3
2007-01-01  2740.0
2007-04-01  2860.3
2007-07-01  2903.3
2007-10-01  2997.1
2008-01-01  2940.9
2008-04-01  2985.2
2008-07-01  3066.2
2008-10-01  3161.0
2009-01-01  3133.3
2009-04-01  3122.7
2009-07-01  3161.5
2009-10-01  3213.9
2010-01-01  3179.2
2010-04-01  3212.4
2010-07-01  3192.1
2010-10-01  3254.5
2011-01-01  3591.3
2011-04-01  3375.2
2011-07-01  3941.3
2011-10-01  3637.2
2012-01-01  3708.0
2012-04-01  3843.0
2012-07-01  3838.7
2012-10-01  3860.8
2013-01-01  3939.2
2013-04-01  3938.2
2013-07-01  3976.1
2013-10-01  4086.6
2014-01-01  3990.8
2014-04-01  4041.0
2014-07-01  4079.9
2014-10-01  4086.3
2015-01-01  4055.3
2015-04-01  4106.4
2015-07-01  4193.8
2015-10-01  4152.9
2016-01-01  4167.8
2016-04-01  4227.8
2016-07-01  4410.4
2016-10-01  4426.4
2017-01-01  4467.6
2017-04-01  4457.0
2017-07-01  4642.3
2017-10-01  4648.0
2018-01-01  4509.8
2018-04-01  4670.0
