Title:               State Government Tax Collections, Alcoholic Beverages Licenses in North Carolina
Series ID:           NCALCLICTAX
Source:              U.S. Bureau of the Census
Release:             State Government Tax Collections (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Dollars
Date Range:          1942-01-01 to 2017-01-01
Last Updated:        2019-01-07 1:31 PM CST
Notes:               For more information, see
                     http://www.census.gov/govs/www/statetax.html.

DATE        VALUE
1942-01-01    120
1943-01-01      .
1944-01-01    104
1945-01-01      .
1946-01-01    122
1947-01-01      .
1948-01-01    123
1949-01-01      .
1950-01-01     89
1951-01-01     80
1952-01-01     81
1953-01-01     85
1954-01-01     86
1955-01-01     86
1956-01-01     80
1957-01-01     81
1958-01-01     80
1959-01-01     79
1960-01-01     83
1961-01-01     89
1962-01-01     88
1963-01-01     91
1964-01-01    100
1965-01-01    101
1966-01-01    105
1967-01-01    249
1968-01-01    280
1969-01-01    258
1970-01-01    284
1971-01-01    302
1972-01-01    380
1973-01-01    419
1974-01-01    440
1975-01-01    469
1976-01-01    497
1977-01-01    535
1978-01-01    812
1979-01-01   1205
1980-01-01   1337
1981-01-01   1476
1982-01-01   1722
1983-01-01   1797
1984-01-01   2099
1985-01-01   2255
1986-01-01   2424
1987-01-01   2529
1988-01-01   2650
1989-01-01   2658
1990-01-01   2850
1991-01-01   2817
1992-01-01   4727
1993-01-01   5507
1994-01-01   5758
1995-01-01   5506
1996-01-01   5856
1997-01-01   5863
1998-01-01   6797
1999-01-01   8237
2000-01-01   5468
2001-01-01   7081
2002-01-01   6817
2003-01-01  13468
2004-01-01  13796
2005-01-01  14093
2006-01-01  14277
2007-01-01  14371
2008-01-01  14751
2009-01-01  15261
2010-01-01  15507
2011-01-01  16077
2012-01-01  16026
2013-01-01  15915
2014-01-01  15916
2015-01-01  24877
2016-01-01  25140
2017-01-01  26601
