Title:               Average Hourly Earnings of All Employees: Manufacturing in North Carolina
Series ID:           SMU37000003000000003
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Hour
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:00 PM CST
Notes:               

DATE        VALUE
2007-01-01  18.54
2007-02-01  18.33
2007-03-01  19.15
2007-04-01  18.43
2007-05-01  18.65
2007-06-01  18.54
2007-07-01  18.53
2007-08-01  18.54
2007-09-01  18.68
2007-10-01  18.55
2007-11-01  18.48
2007-12-01  18.62
2008-01-01  18.74
2008-02-01  18.35
2008-03-01  18.08
2008-04-01  18.61
2008-05-01  18.36
2008-06-01  18.33
2008-07-01  18.32
2008-08-01  18.72
2008-09-01  18.30
2008-10-01  18.79
2008-11-01  19.33
2008-12-01  19.43
2009-01-01  19.50
2009-02-01  19.62
2009-03-01  19.75
2009-04-01  19.75
2009-05-01  19.55
2009-06-01  19.54
2009-07-01  19.56
2009-08-01  19.62
2009-09-01  19.60
2009-10-01  19.42
2009-11-01  19.53
2009-12-01  19.49
2010-01-01  20.23
2010-02-01  20.39
2010-03-01  20.20
2010-04-01  20.16
2010-05-01  20.05
2010-06-01  19.64
2010-07-01  20.41
2010-08-01  20.19
2010-09-01  19.77
2010-10-01  19.43
2010-11-01  19.72
2010-12-01  19.70
2011-01-01  20.40
2011-02-01  20.23
2011-03-01  19.83
2011-04-01  19.98
2011-05-01  20.15
2011-06-01  20.08
2011-07-01  20.17
2011-08-01  20.05
2011-09-01  20.38
2011-10-01  20.40
2011-11-01  20.40
2011-12-01  20.62
2012-01-01  20.74
2012-02-01  20.65
2012-03-01  20.64
2012-04-01  20.68
2012-05-01  20.43
2012-06-01  20.42
2012-07-01  20.61
2012-08-01  20.36
2012-09-01  20.63
2012-10-01  20.58
2012-11-01  20.86
2012-12-01  20.96
2013-01-01  20.97
2013-02-01  20.79
2013-03-01  20.92
2013-04-01  21.04
2013-05-01  20.85
2013-06-01  20.84
2013-07-01  21.03
2013-08-01  20.80
2013-09-01  20.87
2013-10-01  20.79
2013-11-01  20.96
2013-12-01  21.14
2014-01-01  20.90
2014-02-01  21.24
2014-03-01  20.81
2014-04-01  20.57
2014-05-01  20.77
2014-06-01  20.85
2014-07-01  21.07
2014-08-01  20.95
2014-09-01  21.22
2014-10-01  21.09
2014-11-01  21.28
2014-12-01  21.13
2015-01-01  21.25
2015-02-01  21.44
2015-03-01  21.19
2015-04-01  21.27
2015-05-01  21.35
2015-06-01  21.09
2015-07-01  21.01
2015-08-01  21.15
2015-09-01  20.97
2015-10-01  20.89
2015-11-01  21.14
2015-12-01  21.31
2016-01-01  21.33
2016-02-01  21.59
2016-03-01  21.64
2016-04-01  21.83
2016-05-01  21.84
2016-06-01  22.12
2016-07-01  22.20
2016-08-01  22.06
2016-09-01  21.67
2016-10-01  22.20
2016-11-01  21.97
2016-12-01  22.21
2017-01-01  22.51
2017-02-01  22.29
2017-03-01  22.53
2017-04-01  22.68
2017-05-01  22.75
2017-06-01  22.71
2017-07-01  23.05
2017-08-01  22.81
2017-09-01  23.02
2017-10-01  23.15
2017-11-01  22.96
2017-12-01  23.26
2018-01-01  23.55
2018-02-01  23.55
2018-03-01  23.49
2018-04-01  23.73
2018-05-01  23.32
2018-06-01  23.35
2018-07-01  23.43
2018-08-01  23.19
2018-09-01  23.36
2018-10-01  23.07
