Title:               Average Weekly Earnings of All Employees: Information in North Carolina
Series ID:           SMU37000005000000011
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Week
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:00 PM CST
Notes:               

DATE          VALUE
2007-01-01  1063.87
2007-02-01  1042.28
2007-03-01  1054.67
2007-04-01  1096.86
2007-05-01  1032.17
2007-06-01  1043.95
2007-07-01  1062.28
2007-08-01  1000.03
2007-09-01  1069.59
2007-10-01  1009.13
2007-11-01  1055.47
2007-12-01  1088.29
2008-01-01  1060.13
2008-02-01  1044.23
2008-03-01  1113.27
2008-04-01  1071.81
2008-05-01  1116.29
2008-06-01  1113.02
2008-07-01  1129.82
2008-08-01  1160.71
2008-09-01  1111.23
2008-10-01  1009.37
2008-11-01  1072.37
2008-12-01   995.87
2009-01-01  1002.50
2009-02-01   974.40
2009-03-01   994.05
2009-04-01   957.60
2009-05-01   963.97
2009-06-01   955.64
2009-07-01   964.25
2009-08-01   970.87
2009-09-01   961.80
2009-10-01   997.92
2009-11-01  1040.71
2009-12-01  1006.70
2010-01-01  1001.46
2010-02-01  1038.73
2010-03-01  1012.97
2010-04-01  1018.94
2010-05-01  1021.01
2010-06-01  1009.14
2010-07-01  1004.78
2010-08-01  1004.85
2010-09-01  1002.53
2010-10-01  1035.96
2010-11-01  1038.94
2010-12-01  1026.20
2011-01-01  1027.80
2011-02-01  1046.88
2011-03-01  1026.12
2011-04-01  1036.07
2011-05-01  1062.83
2011-06-01  1041.35
2011-07-01  1096.27
2011-08-01  1069.09
2011-09-01  1100.36
2011-10-01  1151.78
2011-11-01  1134.42
2011-12-01  1111.64
2012-01-01  1170.38
2012-02-01  1129.24
2012-03-01  1101.79
2012-04-01  1159.58
2012-05-01  1132.77
2012-06-01  1148.66
2012-07-01  1175.52
2012-08-01  1121.28
2012-09-01  1212.25
2012-10-01  1131.67
2012-11-01  1134.60
2012-12-01  1183.27
2013-01-01  1126.32
2013-02-01  1124.94
2013-03-01  1128.13
2013-04-01  1128.95
2013-05-01  1126.73
2013-06-01  1226.52
2013-07-01  1121.65
2013-08-01  1137.70
2013-09-01  1167.30
2013-10-01  1117.05
2013-11-01  1183.75
2013-12-01  1187.42
2014-01-01  1152.97
2014-02-01  1256.15
2014-03-01  1201.88
2014-04-01  1144.31
2014-05-01  1158.25
2014-06-01  1199.20
2014-07-01  1137.24
2014-08-01  1181.14
2014-09-01  1180.73
2014-10-01  1184.77
2014-11-01  1290.02
2014-12-01  1207.20
2015-01-01  1207.49
2015-02-01  1324.96
2015-03-01  1283.57
2015-04-01  1274.85
2015-05-01  1269.14
2015-06-01  1273.04
2015-07-01  1260.97
2015-08-01  1325.82
2015-09-01  1290.53
2015-10-01  1297.07
2015-11-01  1370.84
2015-12-01  1290.63
2016-01-01  1350.62
2016-02-01  1421.98
2016-03-01  1332.83
2016-04-01  1389.13
2016-05-01  1401.91
2016-06-01  1344.03
2016-07-01  1392.88
2016-08-01  1349.66
2016-09-01  1391.76
2016-10-01  1450.38
2016-11-01  1382.76
2016-12-01  1394.44
2017-01-01  1450.46
2017-02-01  1445.96
2017-03-01  1386.38
2017-04-01  1463.00
2017-05-01  1332.24
2017-06-01  1403.19
2017-07-01  1510.20
2017-08-01  1403.47
2017-09-01  1450.09
2017-10-01  1466.78
2017-11-01  1386.11
2017-12-01  1422.64
2018-01-01  1377.00
2018-02-01  1482.67
2018-03-01  1439.98
2018-04-01  1464.10
2018-05-01  1380.49
2018-06-01  1386.61
2018-07-01  1391.79
2018-08-01  1377.85
2018-09-01  1468.81
2018-10-01  1401.46
